model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
lstm,post_covid,1,flu_season,pooled,352,18.86810142140628,49.63213783705368,10.516900537501682,0.8742666021370011,91.19318181818184,,,level,8.0,122,21390.0
lstm,post_covid,1,off_season,pooled,275,5.838432381401433,86.85731025610369,4.427335556723855,0.795636886097808,98.9090909090909,,,level,8.0,122,21390.0
lstm,post_covid,1,overall,pooled,627,14.65650586441446,65.95896784540895,7.846038703827197,0.8825059599776328,94.57735247208932,,,level,8.0,122,21390.0
lstm,post_covid,2,flu_season,pooled,352,27.782536784036218,62.934734326542255,15.443258228627116,0.7021826063715468,90.05681818181817,,,level,8.0,121,21390.0
lstm,post_covid,2,off_season,pooled,275,7.234080921167355,94.76481393798134,5.1858894941156555,0.7774867192647648,100.0,,,level,8.0,121,21390.0
lstm,post_covid,2,overall,pooled,627,21.36077622544532,76.89529555962956,10.944412292437882,0.7313054707021698,94.41786283891548,,,level,8.0,121,21390.0
lstm,post_covid,4,flu_season,pooled,352,32.85344932601947,65.36375888233984,17.422779912298378,0.5557960198867684,87.5,,,level,8.0,119,21390.0
lstm,post_covid,4,off_season,pooled,275,15.498333474984344,126.06125041488052,8.734806397871537,0.6752095726049407,99.27272727272728,,,level,8.0,119,21390.0
lstm,post_covid,4,overall,pooled,627,26.67021821403438,91.98546569485768,13.612265212988357,0.5398373809968148,92.6634768740032,,,level,8.0,119,21390.0
persistence,exclude_covid,1,flu_season,pooled,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,93.18181818181816,,,level,8.0,211,0.0
persistence,exclude_covid,1,off_season,pooled,275,7.131745291938777,73.77117813251192,4.950363636363637,0.6875090297390586,97.45454545454544,,,level,8.0,211,0.0
persistence,exclude_covid,1,overall,pooled,627,15.806117463890258,66.53252543971833,8.936842105263157,0.8708879041331536,95.05582137161085,,,level,8.0,211,0.0
persistence,exclude_covid,2,flu_season,pooled,352,31.16599789379299,76.63784452233254,17.825142045454545,0.6672241757157457,88.63636363636364,,,level,8.0,210,0.0
persistence,exclude_covid,2,off_season,pooled,275,7.249015607151586,71.05902606661883,4.7041818181818185,0.7315436302603606,98.1818181818182,,,level,8.0,210,0.0
persistence,exclude_covid,2,overall,pooled,627,23.840083919229752,74.19099432245811,12.070334928229665,0.7063557895528015,92.82296650717704,,,level,8.0,210,0.0
persistence,exclude_covid,4,flu_season,pooled,352,45.89101389433448,104.2668535233013,26.73267045454546,0.2836765805469534,90.05681818181817,,,level,8.0,206,0.0
persistence,exclude_covid,4,off_season,pooled,275,9.11114701889943,78.54086873761824,5.6,0.6735872189884351,100.0,,,level,8.0,206,0.0
persistence,exclude_covid,4,overall,pooled,627,34.91012269624194,92.983526862914,17.46395534290271,0.3717877766009544,94.41786283891548,,,level,8.0,206,0.0
persistence,post_covid,1,flu_season,pooled,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,93.18181818181816,,,level,8.0,122,0.0
persistence,post_covid,1,off_season,pooled,275,7.131745291938777,73.77117813251192,4.950363636363637,0.6875090297390586,97.45454545454544,,,level,8.0,122,0.0
persistence,post_covid,1,overall,pooled,627,15.806117463890258,66.53252543971833,8.936842105263157,0.8708879041331536,95.05582137161085,,,level,8.0,122,0.0
persistence,post_covid,2,flu_season,pooled,352,31.16599789379299,76.63784452233254,17.825142045454545,0.6672241757157457,89.48863636363636,,,level,8.0,121,0.0
persistence,post_covid,2,off_season,pooled,275,7.249015607151586,71.05902606661883,4.7041818181818185,0.7315436302603606,98.1818181818182,,,level,8.0,121,0.0
persistence,post_covid,2,overall,pooled,627,23.840083919229752,74.19099432245811,12.070334928229665,0.7063557895528015,93.30143540669856,,,level,8.0,121,0.0
persistence,post_covid,4,flu_season,pooled,352,45.89101389433448,104.2668535233013,26.73267045454546,0.2836765805469534,90.625,,,level,8.0,119,0.0
persistence,post_covid,4,off_season,pooled,275,9.11114701889943,78.54086873761824,5.6,0.6735872189884351,100.0,,,level,8.0,119,0.0
persistence,post_covid,4,overall,pooled,627,34.91012269624194,92.983526862914,17.46395534290271,0.3717877766009544,94.73684210526316,,,level,8.0,119,0.0
seasonal_naive,exclude_covid,1,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,91.19318181818184,,,level,8.0,211,0.0
seasonal_naive,exclude_covid,1,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,99.27272727272728,,,level,8.0,211,0.0
seasonal_naive,exclude_covid,1,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,94.73684210526316,,,level,8.0,211,0.0
seasonal_naive,exclude_covid,2,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,91.19318181818184,,,level,8.0,210,0.0
seasonal_naive,exclude_covid,2,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,99.27272727272728,,,level,8.0,210,0.0
seasonal_naive,exclude_covid,2,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,94.73684210526316,,,level,8.0,210,0.0
seasonal_naive,exclude_covid,4,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519451,91.19318181818184,,,level,8.0,206,0.0
seasonal_naive,exclude_covid,4,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604417,99.27272727272728,,,level,8.0,206,0.0
seasonal_naive,exclude_covid,4,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,94.73684210526316,,,level,8.0,206,0.0
seasonal_naive,post_covid,1,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,95.45454545454544,,,level,8.0,122,0.0
seasonal_naive,post_covid,1,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,100.0,,,level,8.0,122,0.0
seasonal_naive,post_covid,1,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,97.4481658692185,,,level,8.0,122,0.0
seasonal_naive,post_covid,2,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519452,95.45454545454544,,,level,8.0,121,0.0
seasonal_naive,post_covid,2,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604418,100.0,,,level,8.0,121,0.0
seasonal_naive,post_covid,2,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,97.4481658692185,,,level,8.0,121,0.0
seasonal_naive,post_covid,4,flu_season,pooled,352,52.81327635255087,160.26512910631672,31.357954545454547,0.3145352591519451,95.45454545454544,,,level,8.0,119,0.0
seasonal_naive,post_covid,4,off_season,pooled,275,6.9144933423800605,92.6766830684413,5.029090909090909,0.6936719831604415,100.0,,,level,8.0,119,0.0
seasonal_naive,post_covid,4,overall,pooled,627,39.83540797917882,130.6210738265468,19.810207336523128,0.4169008462052502,97.4481658692185,,,level,8.0,119,0.0
xgboost,post_covid,1,flu_season,pooled,352,20.068941043941624,67.75003165435814,12.20003411397255,0.852970104720765,96.30681818181816,,,climatology,,115,
xgboost,post_covid,1,off_season,pooled,275,6.374956641954713,80.11301268618843,4.636251066928999,0.7875908141188467,100.0,,,climatology,,115,
xgboost,post_covid,1,overall,pooled,627,15.618476705759804,73.1723917560381,8.882585409128886,0.8661657223894175,97.92663476874004,,,climatology,,115,
xgboost,post_covid,2,flu_season,pooled,352,26.483238582122336,80.8125930131041,15.990541657346864,0.7208791466233071,96.30681818181816,,,climatology,,114,
xgboost,post_covid,2,off_season,pooled,275,6.410392567380516,82.02716756820809,4.771842934042844,0.7982876444572309,98.54545454545456,,,climatology,,114,
xgboost,post_covid,2,overall,pooled,627,20.292125318735337,81.34530115130761,11.07005976116089,0.7583622874161153,97.28867623604464,,,climatology,,114,
xgboost,post_covid,4,flu_season,pooled,352,29.994797621518693,94.8404620770722,18.23809127057516,0.622394951110548,96.5909090909091,,,climatology,,113,
xgboost,post_covid,4,off_season,pooled,275,6.645355328611069,77.63917013675555,4.7882021202207845,0.7583227750846183,94.54545454545456,,,climatology,,113,
xgboost,post_covid,4,overall,pooled,627,22.90101927765888,87.29603578745963,12.33901708182324,0.6812040799729484,95.69377990430624,,,climatology,,113,
