model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
dualtopo,post_covid,East Boston,84.0,100.0,90.9090909090909,0.2736240180853641,0.6207136970834167,0.5041586436150938,10.302569313049316,8.458963193391499,9.506466670469804,136.6076972711902,322.2807640378068,216.7847033749565,15.346846030549369,8.95917710013577,12.980065405577498,level,train,479905,8dd9348,,,,9.666666666666666
gnn_multiedge_season,post_covid,East Boston,96.0,100.0,97.72727272727272,0.3967154664059643,0.698001531797649,0.5273594381720466,12.85098198890686,3.9002369955966345,8.985887559977444,147.39339527906026,106.96395784778954,129.93522911555698,16.549505932257336,5.687572696663274,13.022510969176588,delta,train,4865,8dd9348,,,,10.0
arima,exclude_covid,East Boston,96.0,100.0,97.72727272727272,0.0824972000269088,0.4783281063100299,0.2497515618247493,13.264217628524694,3.5903751562958424,9.086876560971326,114.5828426780495,138.24149762462403,124.79908004134306,19.73749623008524,5.066561129120716,15.245677276797146,level,none,,8dd9348,,,,10.333333333333334
persistence,exclude_covid,East Boston,92.0,100.0,95.45454545454544,0.0193082232440363,0.5548812900598273,0.2042981805113774,15.148,3.021052631578947,9.911363636363635,122.15256054843452,91.97183289383376,109.11997360667512,21.44394553248073,4.418144406874904,16.4226492713846,level,none,0,8dd9348,,,,11.666666666666666
persistence,post_covid,East Boston,92.0,100.0,95.45454545454544,0.0193082232440363,0.5548812900598273,0.2042981805113774,15.148,3.021052631578947,9.911363636363635,122.15256054843452,91.97183289383376,109.11997360667512,21.44394553248073,4.418144406874904,16.4226492713846,level,none,0,8dd9348,,,,11.666666666666666
gnn_multiedge_full,full,East Boston,96.0,100.0,97.72727272727272,0.2549170754890384,0.7013801667565651,0.4129154706257274,14.833446440696717,5.973933307748092,11.007747587832538,189.41913061385975,130.33916109943883,163.9073255962689,20.26909666668672,9.313128309994031,16.458529020994984,delta,train,4801,8dd9348,,,,15.0
gnn_multiedge_rt,post_covid,East Boston,88.0,100.0,93.18181818181816,0.0861537714746431,0.5745987677955885,0.2831537125362919,16.353493700027467,5.267104211606477,11.566189148209313,181.29520614180277,132.07074452949038,160.0391886273951,23.134305431346615,8.79667242872255,18.371265647322435,delta,train,5313,8dd9348,,,,16.666666666666668
seasonal_naive,exclude_covid,East Boston,96.0,100.0,97.72727272727272,0.1024809041368482,0.3520756402496167,0.3077668948713468,16.724,3.1052631578947367,10.843181818181815,164.5230675906358,108.16429371300592,140.1863243252956,24.457873987736544,3.672515271724902,18.59310111549198,level,none,0,8dd9348,,,,13.0
seasonal_naive,post_covid,East Boston,100.0,100.0,100.0,0.1024809041368482,0.3520756402496167,0.3077668948713468,16.724,3.1052631578947367,10.843181818181815,164.5230675906358,108.16429371300592,140.1863243252956,24.457873987736544,3.672515271724902,18.59310111549198,level,none,0,8dd9348,,,,13.0
gnn_multiedge,post_covid,East Boston,96.0,100.0,97.72727272727272,0.319727502843023,0.7213936382972908,0.3686748453280044,15.581654434204102,10.359321186417027,13.326555986296048,146.5511779282134,185.16055615172417,163.2234094338203,20.241180219679915,17.202874373008157,18.98891618353595,delta,train,4801,8dd9348,,,,16.333333333333332
