model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error
dualtopo,post_covid,4,Dorchester,2025-26,0.98,IT98,368.7005757586777,40,,,,,,2025-12-21,2026-02-08,7.0,256.1499938964844,66.15982818603516,-189.99016571044922
dualtopo,post_covid,4,East Boston,2024-25,0.5,IT50,32.38969817502224,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1000003814697266,13.05584716796875,9.955846786499023
dualtopo,post_covid,4,East Boston,2024-25,0.9,IT90,56.982258100156095,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1000003814697266,13.05584716796875,9.955846786499023
dualtopo,post_covid,4,East Boston,2024-25,0.98,IT98,81.78485877953806,6,,,,,,2025-06-15,2025-06-01,-2.0,3.1000003814697266,13.05584716796875,9.955846786499023
dualtopo,post_covid,4,East Boston,2025-26,0.5,IT50,32.38969817502224,38,2025-12-14,,,,,2025-12-28,2026-02-08,6.0,59.29999923706055,13.22483253479004,-46.07516670227051
dualtopo,post_covid,4,East Boston,2025-26,0.9,IT90,56.982258100156095,38,2025-12-28,,,,,2025-12-28,2026-02-08,6.0,59.29999923706055,13.22483253479004,-46.07516670227051
dualtopo,post_covid,4,East Boston,2025-26,0.98,IT98,81.78485877953806,38,,,,,,2025-12-28,2026-02-08,6.0,59.29999923706055,13.22483253479004,-46.07516670227051
dualtopo,post_covid,4,Fenway,2024-25,0.5,IT50,19.789042860168028,7,,,,,,2025-06-01,2025-06-01,0.0,5.300000190734863,8.857161521911621,3.557161331176758
dualtopo,post_covid,4,Fenway,2024-25,0.9,IT90,31.717921949528318,7,,,,,,2025-06-01,2025-06-01,0.0,5.300000190734863,8.857161521911621,3.557161331176758
dualtopo,post_covid,4,Fenway,2024-25,0.98,IT98,42.89052071415166,7,,,,,,2025-06-01,2025-06-01,0.0,5.300000190734863,8.857161521911621,3.557161331176758
dualtopo,post_covid,4,Fenway,2025-26,0.5,IT50,19.789042860168028,36,2025-12-14,,,,,2026-01-04,2026-02-01,4.0,21.100000381469727,8.952628135681152,-12.147372245788574
dualtopo,post_covid,4,Fenway,2025-26,0.9,IT90,31.717921949528318,36,,,,,,2026-01-04,2026-02-01,4.0,21.100000381469727,8.952628135681152,-12.147372245788574
dualtopo,post_covid,4,Fenway,2025-26,0.98,IT98,42.89052071415166,36,,,,,,2026-01-04,2026-02-01,4.0,21.100000381469727,8.952628135681152,-12.147372245788574
dualtopo,post_covid,4,Hyde Park,2024-25,0.5,IT50,59.73762940735334,7,,,,,,2025-06-22,2025-06-01,-3.0,6.899999618530273,23.560077667236328,16.660078048706055
dualtopo,post_covid,4,Hyde Park,2024-25,0.9,IT90,98.70163927662223,7,,,,,,2025-06-22,2025-06-01,-3.0,6.899999618530273,23.560077667236328,16.660078048706055
dualtopo,post_covid,4,Hyde Park,2024-25,0.98,IT98,136.08880333365826,7,,,,,,2025-06-22,2025-06-01,-3.0,6.899999618530273,23.560077667236328,16.660078048706055
dualtopo,post_covid,4,Hyde Park,2025-26,0.5,IT50,59.73762940735334,39,2025-12-14,,,,,2025-12-21,2026-02-08,7.0,94.59999084472656,23.840988159179688,-70.75900268554688
dualtopo,post_covid,4,Hyde Park,2025-26,0.9,IT90,98.70163927662223,39,,,,,,2025-12-21,2026-02-08,7.0,94.59999084472656,23.840988159179688,-70.75900268554688
dualtopo,post_covid,4,Hyde Park,2025-26,0.98,IT98,136.08880333365826,39,,,,,,2025-12-21,2026-02-08,7.0,94.59999084472656,23.840988159179688,-70.75900268554688
dualtopo,post_covid,4,Jamaica Plain,2024-25,0.5,IT50,30.1329000930458,8,,,,,,2025-06-08,2025-06-01,-1.0,6.800000190734863,13.016135215759276,6.216135025024412
dualtopo,post_covid,4,Jamaica Plain,2024-25,0.9,IT90,48.93353508945714,8,,,,,,2025-06-08,2025-06-01,-1.0,6.800000190734863,13.016135215759276,6.216135025024412
dualtopo,post_covid,4,Jamaica Plain,2024-25,0.98,IT98,66.72678487426273,8,,,,,,2025-06-08,2025-06-01,-1.0,6.800000190734863,13.016135215759276,6.216135025024412
dualtopo,post_covid,4,Jamaica Plain,2025-26,0.5,IT50,30.1329000930458,38,2025-12-14,,,,,2025-12-21,2026-02-01,6.0,61.099998474121094,13.15699577331543,-47.943002700805664
