model,variant,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
dualtopo,post_covid,4,neighborhood,Mattapan,overall,0.5,IT50,75.36060630157071,47,3.0,0.06382978723404255,0.0,0.0,3.0,44.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9361702127659575,0.0,0.06353055005888111,0.05975554549569943,-0.06317412939445699,,,,,True
dualtopo,post_covid,4,neighborhood,Mattapan,overall,0.9,IT90,114.4266389550119,47,0.0,0.0,0.0,0.0,0.0,47.0,,,,0.0,,,,,,1.0,,2.6275749755631947e-15,0.0,,,,,,True
dualtopo,post_covid,4,neighborhood,Mattapan,overall,0.98,IT98,149.46970387636378,47,0.0,0.0,0.0,0.0,0.0,47.0,,,,0.0,,,,,,1.0,,4.814493109290861e-28,0.0,,,,,,True
dualtopo,post_covid,4,neighborhood,Mattapan,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8846153846153846,1.0,0.0,-0.11538461538461539,False
dualtopo,post_covid,4,neighborhood,Mattapan,flu_season,0.5,IT50,75.36060630157071,26,3.0,0.11538461538461539,0.0,0.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8846153846153846,0.0,0.11483986868210518,0.10207100591715977,-0.12509784390004475,,,,,True
dualtopo,post_covid,4,neighborhood,Mattapan,flu_season,0.9,IT90,114.4266389550119,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,3.041585221130154e-15,0.0,,,,,,True
dualtopo,post_covid,4,neighborhood,Mattapan,flu_season,0.98,IT98,149.46970387636378,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,6.089802336029021e-28,0.0,,,,,,True
dualtopo,post_covid,4,neighborhood,Roslindale,overall,,bands,,42,,,,,,,,,,,,,,,,,,,,,0.9047619047619048,0.9285714285714286,0.0,-0.16666666666666666,False
dualtopo,post_covid,4,neighborhood,Roslindale,overall,0.5,IT50,83.12526323754497,42,4.0,0.09523809523809523,0.0,0.0,4.0,38.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9047619047619048,0.0,0.09491423665233138,0.08616780045351476,-0.10150469378100335,,,,,True
dualtopo,post_covid,4,neighborhood,Roslindale,overall,0.9,IT90,133.65502394030972,42,3.0,0.07142857142857142,0.0,0.0,3.0,39.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9285714285714286,0.0,0.07142857125115262,0.06632653061224489,-0.07692307424814748,,,,,True
dualtopo,post_covid,4,neighborhood,Roslindale,overall,0.98,IT98,181.10052866383202,42,0.0,0.0,0.0,0.0,0.0,42.0,,,,0.0,,,,,,1.0,,0.0,0.0,,,,,,True
dualtopo,post_covid,4,neighborhood,Roslindale,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8461538461538461,0.8846153846153846,0.0,-0.2692307692307692,False
dualtopo,post_covid,4,neighborhood,Roslindale,flu_season,0.5,IT50,83.12526323754497,26,4.0,0.15384615384615385,0.0,0.0,4.0,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8461538461538461,0.0,0.15332149060175923,0.13017751479289943,-0.17778781416805933,,,,,True
