added_route_id,trip_id
742,74013089
743,74013089
741,74013132
742,74013132
743,74013132
741,74013150
742,74013150
743,74013150
741,74013159
742,74013159
743,74013159
741,74013165
742,74013165
743,74013165
741,74013201
742,74013201
743,74013201
741,74013233
742,74013233
743,74013233
741,74013235
742,74013235
743,74013235
741,74013254
742,74013254
743,74013254
741,74013310
742,74013310
743,74013310
741,74013325
742,74013325
743,74013325
741,74013328
742,74013328
743,74013328
741,74013336
742,74013336
743,74013336
741,74013339
742,74013339
743,74013339
741,74013358
742,74013358
743,74013358
741,74013393
742,74013393
743,74013393
741,74013411
742,74013411
743,74013411
741,74013417
742,74013417
743,74013417
741,74013447
742,74013447
743,74013447
741,74013450
742,74013450
743,74013450
741,74013452
742,74013452
743,74013452
741,74013455
742,74013455
743,74013455
741,74013456
742,74013456
743,74013456
741,74013457
742,74013457
743,74013457
741,74013459
742,74013459
743,74013459
741,74013460
742,74013460
743,74013460
741,74013463
742,74013463
743,74013463
741,74013464
742,74013464
743,74013464
741,74013466
742,74013466
743,74013466
741,74013468
742,74013468
743,74013468
741,74013685
742,74013685
743,74013685
741,74013704
742,74013704
743,74013704
741,74013715
742,74013715
743,74013715
741,74013765
742,74013765
743,74013765
741,74013808
742,74013808
743,74013808
741,74013846
742,74013846
743,74013846
741,74013875
742,74013875
743,74013875
741,74013910
742,74013910
743,74013910
741,74014444
742,74014444
743,74014444
741,74014513
742,74014513
743,74014513
741,74014517
742,74014517
743,74014517
741,74014541
742,74014541
743,74014541
741,74014552
742,74014552
743,74014552
741,74014597
742,74014597
743,74014597
741,74014606
