trip_id,trip_property_id,value
74219316,note,Waits at Forest Hills for last Orange Line train
74219316,trip_type,wait
74219396,note,Does not run during school vacation
74219396,trip_type,supplemental
74219455,note,Does not run during school vacation
74219455,trip_type,supplemental
StPats2026-817434-5806,note,Waits at Readville for Train 5706
StPats2026-817434-5806,trip_type,wait
StPats2026-817440-5838,note,Waits at Readville for Train 5738
StPats2026-817440-5838,trip_type,wait
StPats2026-817442-5846,note,Waits at Readville for Train 5746
StPats2026-817442-5846,trip_type,wait
StPats2026-817447-5868,note,Waits at Readville for Train 5768
StPats2026-817447-5868,trip_type,wait
StPats2026-817449-5878,note,Waits at Readville for Train 5778
StPats2026-817449-5878,trip_type,wait
StPats2026-817450-5884,note,Waits at Readville for Train 5784
StPats2026-817450-5884,trip_type,wait
StPats2026-817452-5892,note,Waits at Readville for Train 5792
StPats2026-817452-5892,trip_type,wait
StPats2026-817471-6047,note,Waits at Braintree for Train 7047
StPats2026-817471-6047,trip_type,wait
StPats2026-817516-6979,note,Waits at East Taunton for Train 7029
StPats2026-817516-6979,trip_type,wait
StPats2026-817415-5715,note,Waits at Readville for Train 5815
StPats2026-817415-5715,trip_type,wait
StPats2026-817416-5721,note,Waits at Readville for Train 5821
StPats2026-817416-5721,trip_type,wait
StPats2026-817419-5731,note,Waits at Readville for Train 5831
StPats2026-817419-5731,trip_type,wait
StPats2026-817421-5739,note,Waits at Readville for Train 5839
StPats2026-817421-5739,trip_type,wait
StPats2026-817426-5767,note,Waits at Readville for Train 5867
StPats2026-817426-5767,trip_type,wait
StPats2026-817428-5777,note,Waits at Readville for Train 5877
StPats2026-817428-5777,trip_type,wait
StPats2026-817431-5785,note,Waits at Readville for Train 5885
StPats2026-817431-5785,trip_type,wait
StPats2026-817433-5793,note,Waits at Readville for Train 5893
StPats2026-817433-5793,trip_type,wait
BasewUpdatedWalpoleTurns-772785-874,note,Waits at Readville for Train 776
BasewUpdatedWalpoleTurns-772785-874,trip_type,wait
BasewUpdatedWalpoleTurns-772824-984,note,Waits at Readville for Train 784
BasewUpdatedWalpoleTurns-772824-984,trip_type,wait
BasewUpdatedWalpoleTurns-772792-892,note,Waits at Readville for Train 792
BasewUpdatedWalpoleTurns-772792-892,trip_type,wait
BasewUpdatedWalpoleTurns-772796-908,note,Waits at Readville for Train 1708
BasewUpdatedWalpoleTurns-772796-908,trip_type,wait
BasewUpdatedWalpoleTurns-772778-856,note,Waits at Readville for Train 1756
BasewUpdatedWalpoleTurns-772778-856,trip_type,wait
BasewUpdatedWalpoleTurns-774196-1047,note,Waits at Braintree for Train 2047
BasewUpdatedWalpoleTurns-774196-1047,trip_type,wait
BasewUpdatedWalpoleTurns-772993-2002,note,Waits at Braintree for Train 1002
BasewUpdatedWalpoleTurns-772993-2002,trip_type,wait
BasewUpdatedWalpoleTurns-773011-2055,note,Waits at East Taunton for Train 1905
BasewUpdatedWalpoleTurns-773011-2055,trip_type,wait
BasewUpdatedWalpoleTurns-773013-2061,note,Waits at East Taunton for Train 1911
BasewUpdatedWalpoleTurns-773013-2061,trip_type,wait
BasewUpdatedWalpoleTurns-773015-2065,note,Waits at East Taunton for Train 1915
BasewUpdatedWalpoleTurns-773015-2065,trip_type,wait
BasewUpdatedWalpoleTurns-773016-2067,note,Waits at East Taunton for Train 1917
BasewUpdatedWalpoleTurns-773016-2067,trip_type,wait
BasewUpdatedWalpoleTurns-773018-2075,note,Waits at East Taunton for Train 1925
BasewUpdatedWalpoleTurns-773018-2075,trip_type,wait
BasewUpdatedWalpoleTurns-773020-2089,note,Waits at East Taunton for Train 1939
