route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
CR-Franklin-be153239-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,3,200051190,BasewUpdatedWalpoleTurns-772958-1764,2
CR-Franklin-f221022d-1,CR-Franklin,1,Walpole - South Station via Back Bay,,3,200051220,BasewUpdatedWalpoleTurns-781246-1748,2
CR-Franklin-46a8d1ee-1,CR-Franklin,1,Forge Park/495 - Readville,,3,200051230,BasewUpdatedWalpoleTurns-772750-792,2
CR-Franklin-541f8dad-1,CR-Franklin,1,Franklin - South Station via Fairmount,,3,200051270,BasewUpdatedWalpoleTurns-772745-776,2
CR-Franklin-4ee7f816-1,CR-Franklin,1,Walpole - South Station,,3,200051380,BasewUpdatedWalpoleTurns-788924-1756,2
Boat-F6-C2-1,Boat-F6,1,Boston - Winthrop Loop,,1,200051991,canonical-Boat-F6-C2-1,1
CR-Franklin-C1-1,CR-Franklin,1,Forge Park/495 - South Station via Back Bay,,5,200051991,canonical-CR-Franklin-C1-1,1
CR-Franklin-C2-1,CR-Franklin,1,Foxboro - South Station via Back Bay,,5,200051992,canonical-CR-Franklin-C2-1,1
Boat-F7-C1-1,Boat-F7,1,Boston - Quincy Loop,,1,200052991,canonical-Boat-F7-C1-1,1
Boat-F7-C2-1,Boat-F7,1,Boston - Quincy Loop,,1,200053991,canonical-Boat-F7-C2-1,1
CR-Greenbush-6d652c57-0,CR-Greenbush,0,South Station - Greenbush,,1,200060000,canonical-CR-Greenbush-C1-0,1
CR-Greenbush-a9099211-0,CR-Greenbush,0,South Station - Greenbush,,2,200060020,BasewUpdatedWalpoleTurns-774198-1057,2
CR-Greenbush-414eb5a9-1,CR-Greenbush,1,Greenbush - South Station,,1,200061000,canonical-CR-Greenbush-C1-1,1
CR-Greenbush-24230de0-1,CR-Greenbush,1,Greenbush - South Station,,2,200061020,BasewUpdatedWalpoleTurns-774207-1072,2
CR-Greenbush-e18c2c1d-1,CR-Greenbush,1,Greenbush - South Station,,3,200061040,BasewUpdatedWalpoleTurns-772867-1082,2
CR-Haverhill-779dede9-0,CR-Haverhill,0,North Station - Haverhill via Reading,,1,200070000,canonical-CR-Haverhill-C1-0,1
CR-Haverhill-0afec960-0,CR-Haverhill,0,North Station - Reading,,2,200070020,Base-772437-1215,2
CR-Haverhill-581cdc36-0,CR-Haverhill,0,Oak Grove - Haverhill via Reading,,3,200070070,TowerAZone1WKND-788007-5225,2
CR-Haverhill-5b586e27-0,CR-Haverhill,0,North Station - Haverhill,,3,200070110,Base-772350-265,2
CR-Haverhill-ebc58735-1,CR-Haverhill,1,Haverhill - North Station via Reading,,1,200071000,canonical-CR-Haverhill-C1-1,1
CR-Haverhill-0629a9bc-1,CR-Haverhill,1,Reading - North Station,,2,200071020,Base-772438-1216,2
