model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge_season,post_covid,global,ili_count,citywide,overall,24,origins,1,24.134068599943614,28.393694951725383,3.0605031807790817,4.259626351781769,17.649847700324017,20,2
gnn_multiedge_season,post_covid,global,flu_cases,citywide,overall,24,origins,1,24.134068599943614,25.28962386926132,0.6797746874386078,1.1555552693177056,4.788066564625599,20,3
gnn_multiedge_season,post_covid,global,ed_count,citywide,overall,24,origins,1,24.134068599943614,24.329737979507904,0.28871293593558267,0.19566937956428987,0.8107600206487646,20,4
gnn_multiedge_season,post_covid,global,woy_cos,seasonality,overall,24,origins,1,24.134068599943614,24.229639381054923,0.9828013977672994,0.09557078111130934,0.39599945908636647,20,5
gnn_multiedge_season,post_covid,global,woy_sin,seasonality,overall,24,origins,1,24.134068599943614,23.56155361917384,0.5188899139109724,-0.5725149807697747,-2.3722273697817875,20,6
gnn_multiedge_season,post_covid,global,monthly_cases,citywide,overall,24,origins,1,24.134068599943614,23.359608907228115,0.6003672225051689,-0.7744596927154994,-3.208989356719193,20,7
gnn_multiedge_season,post_covid,group,flu_lags,flu_lags,flu_season,24,origins,8,30.63358086676209,35.70183673327984,4.465949049500806,5.068255866517749,16.54477120569631,20,1
gnn_multiedge_season,post_covid,group,citywide,citywide,flu_season,24,origins,5,30.63358086676209,35.102133591807466,4.1416734924111145,4.468552725045374,14.587105387649352,20,2
gnn_multiedge_season,post_covid,group,weather,weather,flu_season,24,origins,6,30.63358086676209,33.98411266406244,2.1591100610041494,3.350531797300345,10.937447410647717,20,3
gnn_multiedge_season,post_covid,group,demographics,demographics,flu_season,24,nodes,8,30.63358086676209,30.29059612491813,0.09612816010316444,-0.34298474184396,-1.1196364647533052,20,4
gnn_multiedge_season,post_covid,group,seasonality,seasonality,flu_season,24,origins,2,30.63358086676209,29.14324610097058,1.4182192194638987,-1.4903347657915127,-4.865036093147533,20,5
gnn_multiedge_season,post_covid,group,citywide,citywide,off_season,24,origins,5,11.261465934046472,49.80005092461134,3.8758964956120128,38.53858499056487,342.21641495226885,20,1
gnn_multiedge_season,post_covid,group,flu_lags,flu_lags,off_season,24,origins,8,11.261465934046472,16.45081094448896,0.6882966254053166,5.189345010442489,46.08054618141399,20,2
gnn_multiedge_season,post_covid,group,seasonality,seasonality,off_season,24,origins,2,11.261465934046472,14.86055525061104,0.7449212682138432,3.5990893165645677,31.95933227204056,20,3
gnn_multiedge_season,post_covid,group,weather,weather,off_season,24,origins,6,11.261465934046472,14.381342292963458,1.8519426183000922,3.1198763589169864,27.703998548579296,20,4
gnn_multiedge_season,post_covid,group,demographics,demographics,off_season,24,nodes,8,11.261465934046472,11.225510837815202,0.013847778772341477,-0.03595509623126958,-0.3192754517204332,20,5
gnn_multiedge_season,post_covid,group,citywide,citywide,overall,24,origins,5,24.134068599943614,42.274171755327174,2.931067181264578,18.14010315538356,75.16388328914397,20,1
gnn_multiedge_season,post_covid,group,flu_lags,flu_lags,overall,24,origins,8,24.134068599943614,28.91341626332175,3.1133525362062913,4.779347663378136,19.8033234370988,20,2
gnn_multiedge_season,post_covid,group,weather,weather,overall,24,origins,6,24.134068599943614,27.22017737638809,1.5070690709363515,3.086108776444476,12.787353958427408,20,3
gnn_multiedge_season,post_covid,group,seasonality,seasonality,overall,24,origins,2,24.134068599943614,23.962570559465643,0.9175367052808219,-0.1714980404779709,-0.710605589636766,20,4
gnn_multiedge_season,post_covid,group,demographics,demographics,overall,24,nodes,8,24.134068599943614,23.88238266161386,0.06782039598258154,-0.2516859383297536,-1.0428657616823946,20,5
