model,variant,scope,name,group,segment,horizon,permutation_axis,n_columns,baseline_RMSE,permuted_RMSE_mean,permuted_RMSE_std,delta_RMSE,delta_RMSE_pct,n_repeats,rank
gnn_multiedge,post_covid,feature,no_vehicle_rate,demographics,overall,24,nodes,1,26.929649576819976,26.85932471521199,0.026933180980586186,-0.07032486160798612,-0.26114287676628034,20,12
gnn_multiedge,post_covid,feature,poverty_rate,demographics,overall,24,nodes,1,26.929649576819976,26.845355576587934,0.032709033907452806,-0.08429400023204181,-0.31301558526256834,20,13
gnn_multiedge,post_covid,feature,transit_share,demographics,overall,24,nodes,1,26.929649576819976,26.8113177561391,0.05061978209301096,-0.11833182068087567,-0.43941091896988965,20,14
gnn_multiedge,post_covid,feature,pop_density,demographics,overall,24,nodes,1,26.929649576819976,26.58565265662417,0.050113630625825405,-0.3439969201958064,-1.2773910006311628,20,15
gnn_multiedge,post_covid,feature,flu_lag4,flu_lags,overall,24,origins,1,26.929649576819976,26.059858125772553,0.6864684933427899,-0.8697914510474227,-3.2298654632183044,20,16
gnn_multiedge,post_covid,feature,flu_lag5,flu_lags,overall,24,origins,1,26.929649576819976,25.387730636071545,2.271072147385005,-1.541918940748431,-5.725729688200832,20,17
gnn_multiedge,post_covid,feature,temp_mean_c,weather,overall,24,origins,1,26.929649576819976,25.348583890585665,1.2879617232295657,-1.5810656862343109,-5.871096397760899,20,18
gnn_multiedge,post_covid,feature,flu_lag1,flu_lags,overall,24,origins,1,26.929649576819976,25.2292395600414,0.9468280202115433,-1.7004100167785765,-6.314267149774667,20,19
gnn_multiedge,post_covid,feature,temp_max_c,weather,overall,24,origins,1,26.929649576819976,24.791679100095685,0.798105692981906,-2.1379704767242913,-7.939095050700456,20,20
gnn_multiedge,post_covid,feature,flu_lag6,flu_lags,overall,24,origins,1,26.929649576819976,24.73598307305303,1.8566874571188665,-2.193666503766945,-8.145915517798532,20,21
gnn_multiedge,post_covid,feature,wind_speed_max_kmh,weather,overall,24,origins,1,26.929649576819976,23.990444004802608,1.7506289972488338,-2.939205572017368,-10.914384769964942,20,22
gnn_multiedge,post_covid,global,ed_count,citywide,flu_season,24,origins,1,33.98388860438351,34.71369309034349,0.7990496469177899,0.7298044859599813,2.147501407081017,20,1
gnn_multiedge,post_covid,global,ili_count,citywide,flu_season,24,origins,1,33.98388860438351,34.31730455503998,4.168191060281697,0.3334159506564731,0.9811000575533505,20,2
