model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,2,neighborhood,Hilliard,overall,0.5,IT50,19.24134804712757,53,8.0,0.1509433962264151,0.0,0.0,8.0,45.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8490566037735849,0.0,0.10601593360697811,0.12815948736205057,0.17278122916110705,,,,,False
arima,post_covid,arima,2,neighborhood,Hilliard,overall,0.9,IT90,34.52709434950146,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,1.7068676211209138e-06,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Hilliard,overall,0.98,IT98,50.186768532537315,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,1.5727630082086952e-13,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Hilliard,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.6923076923076923,1.0,0.0,-0.3076923076923077,False
arima,post_covid,arima,2,neighborhood,Hilliard,flu_season,0.5,IT50,19.24134804712757,26,8.0,0.3076923076923077,0.0,0.0,8.0,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.6923076923076923,0.0,0.21191537047269432,0.21301775147928986,0.005175066392073546,,,,,False
arima,post_covid,arima,2,neighborhood,Hilliard,flu_season,0.9,IT90,34.52709434950146,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,3.462555161640732e-06,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Hilliard,flu_season,0.98,IT98,50.186768532537315,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,3.205992798166931e-13,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Linden,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8490566037735849,1.0,-0.034146341463414664,-0.11320754716981132,False
arima,post_covid,arima,2,neighborhood,Linden,overall,0.5,IT50,53.62727596624066,53,7.0,0.1320754716981132,0.0,1.0,7.0,45.0,0.0,1.0,0.0,0.021739130434782608,0.0,0.0,-0.021739130434782608,-0.03414634146341464,-0.0540964084268288,0.8490566037735849,0.14285714285714285,0.10197208202653492,0.1146315414738341,0.11043609188653236,,,,,False
arima,post_covid,arima,2,neighborhood,Linden,overall,0.9,IT90,82.61523156370409,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,3.627266101708745e-05,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Linden,overall,0.98,IT98,108.92078323683364,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,4.5124875346079835e-10,0.0,,,,,,True
arima,post_covid,arima,2,neighborhood,Linden,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.6923076923076923,1.0,-0.07216494845360844,-0.23076923076923078,False
arima,post_covid,arima,2,neighborhood,Linden,flu_season,0.5,IT50,53.62727596624066,26,7.0,0.2692307692307692,0.0,1.0,7.0,18.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,-0.05263157894736842,-0.07216494845360824,-0.12139539573337679,0.6923076923076923,0.14285714285714285,0.20781440512392496,0.19674556213017758,-0.05625968318626495,,,,,False
