date,site,eff,smooth,site_latest_val,site_latest_lab
2025-11-19,East Boston,98.59088419162752,47.98887110278513,NA,NA
2025-11-23,East Boston,55.972404378600345,55.60196807499802,NA,NA
2025-11-30,East Boston,4.508774708046013,61.38645865825385,NA,NA
2025-12-03,East Boston,1.4694348030682753,66.01599278884046,NA,NA
2025-12-07,East Boston,13.021340874649676,76.62728736766726,NA,NA
2025-12-10,East Boston,384.7894672013657,83.83365597424877,NA,NA
2025-12-14,East Boston,6.613351350059453,85.02025751662508,NA,NA
2025-12-17,East Boston,14.06434059566932,74.53532293064235,NA,NA
2025-12-21,East Boston,7.939082407989283,43.01574999483195,NA,NA
2025-12-22,East Boston,11.08702967279557,33.6871231925174,NA,NA
2025-12-28,East Boston,12.487787697468637,1,NA,NA
2025-12-29,East Boston,14.873687101510905,1,NA,NA
2026-01-04,East Boston,28.490869044062478,5.808857724926646,NA,NA
2026-01-07,East Boston,12.476423309636075,21.441398932319753,NA,NA
2026-01-11,East Boston,13.905332107773958,34.35353061507088,NA,NA
2026-01-14,East Boston,38.39151549335119,31.35163120559024,NA,NA
2026-01-18,East Boston,6.6761979310768265,16.606267331472655,NA,NA
2026-01-21,East Boston,4.851856836389833,5.125389947802925,NA,NA
2026-01-26,East Boston,4.205807818852556,1,NA,NA
2026-01-28,East Boston,4.9784838946728724,1,NA,NA
2026-02-01,East Boston,2.02149775596235,0.5239383838347924,NA,NA
2026-02-04,East Boston,1.6169808722349581,4.384045505497787,NA,NA
2026-02-08,East Boston,3.518122138998731,8.807136495350562,NA,NA
2026-02-11,East Boston,4.514739342274139,10.679784914519558,NA,NA
2026-02-15,East Boston,6.932208776855974,10.135504855539848,NA,NA
2026-02-18,East Boston,18.88395601343386,7.0439434243213315,NA,NA
2026-02-22,East Boston,0,1.461495941623203,NA,NA
2026-02-25,East Boston,1.4124715193367539,1,NA,NA
2026-03-01,East Boston,0,0,NA,NA
2026-03-04,East Boston,0,2.2124658519538296,NA,NA
2026-03-08,East Boston,0,8.237690592324018,NA,NA
2026-03-11,East Boston,0,8.10439909061074,NA,NA
2026-03-15,East Boston,0,0,NA,NA
2026-03-18,East Boston,1.2332014759168881,1,NA,NA
2026-03-22,East Boston,7.170668734266024,1,NA,NA
2026-03-25,East Boston,1.4563190702504891,1,NA,NA
2026-03-29,East Boston,0,20.174412933723882,NA,NA
2026-04-01,East Boston,0,39.131553259958864,NA,NA
2026-04-05,East Boston,2.1760975390530577,55.57792949313376,NA,NA
2026-04-08,East Boston,197.58757739442018,55.92728034104019,NA,NA
2026-04-12,East Boston,9.338178226490195,44.421396238576044,NA,NA
