model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
persistence,exclude_covid,overall,pooled,ALL,1,614,15.947844043684832,66.9093507885972,9.03485342019544,0.8708620558028588,614.0,95.11400651465796,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,,,,4.0,2.0,4.0,6.0
persistence,post_covid,overall,pooled,ALL,1,614,15.947844043684832,66.9093507885972,9.03485342019544,0.8708620558028588,614.0,95.2768729641694,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,,,,4.0,2.0,4.0,6.0
lstm,post_covid,overall,pooled,ALL,1,614,16.186199447457525,68.41271410831212,8.494201170582723,0.8628775575016457,614.0,94.29967426710095,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,,,,6.0,4.0,2.0,10.0
gnn_multiedge_covid_rsv,post_covid,overall,pooled,ALL,1,614,16.780104118520434,93.79116709517623,10.740735665594716,0.8670264978431744,614.0,94.46254071661238,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,0.7137646478370644,0.7782943955185612,0.8569410614609396,7.0,11.0,8.0,8.0
gnn_multiedge_leaknorm,post_covid,overall,pooled,ALL,1,614,18.55170006101943,93.45799559775804,11.534894054215584,0.8830942748654214,614.0,95.11400651465796,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,0.6501342696738474,0.7708868682874228,0.8561654112682697,8.0,10.0,9.0,1.0
dualtopo_fullhistory,full,overall,pooled,ALL,1,627,19.551575582288795,88.22795880465786,10.562944748375024,0.8039289502585438,627.0,90.9090909090909,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,0.6045380126478819,0.7343991844461528,0.8033845973374805,9.0,7.0,7.0,16.0
gnn_multiedge_covid_rsv_full,full,overall,pooled,ALL,1,614,19.944598756204105,92.02581705029075,12.30453940711503,0.8756387450461968,614.0,91.20521172638436,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,0.595624733245838,0.7827723675489003,0.841093022630053,10.0,9.0,11.0,2.0
gnn_multiedge_full,full,overall,pooled,ALL,1,614,20.525295357398708,91.87885489619146,12.207854260256704,0.8662847356425476,614.0,90.55374592833876,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,0.5717347783691309,0.7596265303454083,0.8333618076333718,11.0,8.0,10.0,9.0
gnn_multiedge_rt,post_covid,overall,pooled,ALL,1,614,23.02872637906753,105.1601510131212,13.86019078062101,0.8551222361096242,614.0,91.20521172638436,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,0.4608944434830787,0.7604720074467513,0.8042864396095573,12.0,12.0,12.0,12.0
gnn_multiedge,post_covid,overall,pooled,ALL,1,614,24.53542627108886,113.10046606814478,14.890997407490731,0.8601545371807578,614.0,89.25081433224756,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,0.3880426093408577,0.7731129750247404,0.791025977257208,13.0,13.0,13.0,11.0
dualtopo,post_covid,overall,pooled,ALL,1,627,28.914844930452,206.272333419542,18.201873665221,0.4168523709236908,627.0,86.92185007974481,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,0.1350660113838114,0.5143415667812321,0.3429581755915025,14.0,19.0,15.0,17.0
dualtopo_no_bg,post_covid,overall,pooled,ALL,1,627,29.029899094409423,208.85103799904877,18.327171126431065,0.4121753784077364,627.0,86.92185007974481,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,0.128169052798882,0.5073053185431922,0.3393307482773235,15.0,20.0,16.0,20.0
gnn_corrbinary,post_covid,overall,pooled,ALL,1,614,31.028411233887404,129.87793105521922,18.191291162167776,0.8077092682279355,614.0,87.94788273615634,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,0.0212922074352185,0.748282113236747,0.7093125926915975,16.0,14.0,14.0,14.0
gnn_uniform,post_covid,overall,pooled,ALL,1,614,31.89929198288161,130.0217893839823,18.63176492215756,0.8104560422273888,614.0,83.22475570032573,delta,train,4834,5bc3803,2.063400057486323e-05,5.5847113523486776e-05,4.145388584001921,-0.0344179697985056,0.7437608291942285,0.704052394011792,17.0,15.0,17.0,13.0
gnn_geo,post_covid,overall,pooled,ALL,1,614,33.824088413825024,140.07135812598167,19.650740491450804,0.8040298658890586,614.0,85.01628664495115,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,-0.1630172880375422,0.7639440099658342,0.6816697332358242,18.0,18.0,18.0,15.0
seasonal_naive,exclude_covid,overall,pooled,ALL,1,614,40.23222734654202,132.36738142232522,20.105048859934858,0.4156047470956983,614.0,94.78827361563518,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,,,,19.0,16.0,19.0,18.0
seasonal_naive,post_covid,overall,pooled,ALL,1,614,40.23222734654202,132.36738142232522,20.105048859934858,0.4156047470956983,614.0,97.3941368078176,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,,,,19.0,16.0,19.0,18.0
