model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
dualtopo_fullhistory,full,Fenway,96.0,100.0,97.67441860465117,0.4869981999654335,0.3043208317994943,0.5705352044564104,3.941624240875244,2.451557848188612,3.317875518355258,47.268098478264285,145.14181614271834,88.23849191919855,6.571629888028886,2.888952903593061,5.348085648494216,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,8.666666666666666
gnn_multiedge_leaknorm,post_covid,Fenway,100.0,100.0,100.0,0.6522764789210668,0.3262211324993976,0.7169741844713571,4.950791640281677,3.103486460797927,4.203072877157302,60.50191803399618,155.04877174164264,98.77088262994832,5.915678902912354,4.4635966720283875,5.375394207733108,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,10.333333333333334
gnn_multiedge_covid_rsv_full,full,Fenway,100.0,100.0,100.0,0.6828914873525885,0.3033058370940725,0.7474102355432624,4.961804132461548,2.870896304354948,4.115484297275543,62.93495131118476,147.59342564155878,97.20147663538376,6.165632797809521,4.298592542384118,5.486997527289265,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,10.666666666666666
dualtopo,post_covid,Fenway,100.0,100.0,100.0,0.4994313163124182,0.3158762528811437,0.5837466100855951,4.265085601806641,5.745297802819146,4.884709313858387,75.29612964634214,310.1650767280284,173.61336330844338,5.423638540722617,6.0355601962055925,5.687808543916392,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,11.666666666666666
dualtopo_no_bg,post_covid,Fenway,100.0,100.0,100.0,0.4634361630468636,0.2966574204087184,0.5613202486116862,4.251925277709961,5.7984873453776045,4.8993233525475794,75.2138672562697,313.0199566424848,174.76060234817365,5.415959728483006,6.092102157550482,5.708749407052189,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,12.333333333333334
gnn_multiedge_full,full,Fenway,100.0,100.0,100.0,0.6694979141840441,0.3382548165861501,0.7095956986275314,5.407454347610473,3.5597315816318287,4.659566561381022,65.97031205583515,169.44380624021213,107.85244065427348,6.444562760268232,5.300989731347366,6.0079671221545,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,12.666666666666666
gnn_multiedge_rt,post_covid,Fenway,100.0,100.0,100.0,0.6837943482004339,0.3118195541148816,0.7254272443652482,5.522695589065552,3.581340930041145,4.736909179460435,66.20684605004027,173.92052862437896,109.8052413777488,6.793541787578281,5.340806980416006,6.246364613049001,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,14.0
gnn_multiedge,post_covid,Fenway,100.0,100.0,100.0,0.6387683377143161,0.3295630021283086,0.6935343635906124,6.1421913194656375,4.0217154446770165,5.283903465384529,74.74136746765585,190.22270508615097,121.48381364657055,7.555974991808534,6.0569903726333445,6.9880854423488294,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,15.333333333333334
gnn_uniform,post_covid,Fenway,100.0,100.0,100.0,0.5528278849035403,0.3535195835555539,0.6102448048427787,7.353053030967712,4.966818613164565,6.387196242809296,86.30583102068637,221.42667589358803,140.99760156447994,9.245953920826908,7.908537003807086,8.729337338949296,delta,train,4834,5bc3803,2.063400057486323e-05,5.5847113523486776e-05,4.145388584001921,17.333333333333332
gnn_geo,post_covid,Fenway,100.0,100.0,100.0,0.5915426664619062,0.3355318805522504,0.6312619774874515,7.206743240356445,5.2307040410883285,6.406917850176494,87.08454228283878,237.6321328446444,148.02047179595058,9.096609550567422,8.260831027252724,8.767920737281882,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,17.666666666666668
gnn_corrbinary,post_covid,Fenway,100.0,100.0,100.0,0.593343149956436,0.3260051398453417,0.6429583046780625,7.545522656440735,4.919148038415348,6.482466263430459,88.41547303175763,222.9282832500858,142.86113431060474,9.352136537089084,7.865390827470318,8.780736198633152,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,18.0
seasonal_naive,exclude_covid,Fenway,100.0,100.0,100.0,0.2144308654919174,-0.0407672224890006,0.4337822951553503,8.396,2.264705882352941,5.914285714285715,103.33098347593165,101.84545042854651,102.72969629008526,12.572652862463036,3.1330308573234924,9.902693236354104,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,14.666666666666666
seasonal_naive,post_covid,Fenway,100.0,100.0,100.0,0.2144308654919174,-0.0407672224890006,0.4337822951553503,8.396,2.264705882352941,5.914285714285715,103.33098347593165,101.84545042854651,102.72969629008526,12.572652862463036,3.1330308573234924,9.902693236354104,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,14.666666666666666
