model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
dualtopo,post_covid,Far South,73.07692307692307,70.37037037037037,71.69811320754717,0.6503262076206457,0.1957948650388918,0.7526638397760881,15.186392050523024,8.224701563517252,11.639870481671029,26.680761677842824,36.773406974794185,31.72708432631851,19.304476284002696,11.1655056862387,15.694779137208345,level,train,479905,,2.3333333333333335
xgboost,post_covid,Far South,73.07692307692307,92.5925925925926,83.01886792452831,0.5844276725198289,0.7444273956869146,0.8360525534761782,14.486628895744746,9.94772149137796,12.174355312388082,21.97963585700447,34.51825393544256,28.24894489622351,19.72223622368206,11.822417351314147,16.186944161363495,climatology,,,,3.6666666666666665
lstm,post_covid,Far South,96.15384615384616,92.5925925925926,94.33962264150944,0.4146795001481695,0.1359672355452691,0.6074436796073968,16.095884243758267,13.435700417809976,14.740696256954422,26.626178244967573,58.2437764682495,42.434977356608535,19.412244220172916,15.753049866845464,17.643213206981958,level,train,22353,,5.0
arima,post_covid,Far South,92.3076923076923,100.0,96.22641509433964,0.1062893399814452,0.2939728539996208,0.5344685156211761,17.724058382261315,11.15540632489997,14.377763937945156,28.41781866087644,53.54517482202527,40.981496741450854,22.965449018019186,13.267876763945942,18.66572634375035,level,none,,,5.333333333333333
persistence,post_covid,Far South,96.15384615384616,88.88888888888889,92.45283018867924,0.1062893399814452,0.2939728539996208,0.5344685156211761,21.44512185101803,12.738651918314384,17.009750375867117,38.01865223934404,53.13391524414853,45.57628374174629,25.474132897341583,15.595879599302336,21.0298382141056,level,none,0,,6.333333333333333
gat,post_covid,Far South,61.53846153846154,85.18518518518519,73.58490566037736,0.3272064525320704,0.3538638546196369,0.6154532593431254,26.49248952132005,7.455354725873029,16.794326512318737,45.452237052406055,29.914987297231416,37.683612174818734,32.728192182937285,10.76907927701674,24.17732116091728,level,,8129,,5.333333333333333
seasonal_naive,post_covid,Far South,96.15384615384616,100.0,98.1132075471698,0.3163328819534018,0.3284506299438314,0.6075120889082763,26.292869702397585,10.364990070181266,18.178666870891156,48.281278090095874,50.76769188714192,49.52448498861889,41.761921846838845,12.133568723807407,30.505349130131076,level,none,0,,7.0
xgboost,post_covid,Far Southeast,100.0,100.0,100.0,0.3362042699657116,0.0324289345590208,0.5290034250722854,2.9925401930519935,1.92699637573186,2.449715984228529,79.29846360188097,82.5137344602619,80.93643177501842,3.675200169552852,2.2285670246573277,3.0259266473882716,climatology,,,,1.6666666666666667
dualtopo,post_covid,Far Southeast,88.46153846153845,100.0,94.33962264150944,0.2854497328402174,0.0207527887120106,0.4645589734585748,3.2824750313392053,1.7433387438456218,2.4983867339368135,61.50662585854667,70.37131010125708,66.02259707653124,3.960382920977736,2.087132603679016,3.1485718911381357,level,train,479905,,2.3333333333333335
gnn_st,post_covid,Far Southeast,100.0,100.0,100.0,0.2410203667927073,-0.1563135573449799,0.4314634669232121,3.070521327165457,2.0389450435285217,2.545001333614566,71.68766339944105,64.9111974184032,68.23550148457271,3.8511040713515583,2.5939544312654053,3.271599504217773,blend,train,15734,,3.3333333333333335
lstm,post_covid,Far Southeast,100.0,100.0,100.0,-0.0056150962033355,-0.21477513955902,0.2347593679156547,3.2606572364743203,2.368105645625397,2.805961143022982,72.30017767684716,99.76177683986946,86.29004894857549,4.027911753299727,2.877974451130827,3.489768867889446,level,train,22353,,4.666666666666667
arima,post_covid,Far Southeast,100.0,100.0,100.0,-0.0946879159666334,-0.2955315530131981,0.0896517764069637,3.434767885536952,2.264355871748213,2.8385202558709905,69.27825077139444,98.9851632428086,84.41196089834128,4.334277303049397,2.590794524938715,3.5546005070632893,level,none,,,4.666666666666667
persistence,post_covid,Far Southeast,100.0,100.0,100.0,-0.0773489442520834,-0.2294962730107892,0.0807450008480576,4.544175566585986,2.870572535692244,3.6915853433004946,106.9506882006882,105.24838330393888,106.08347627215552,5.680212187546923,3.564529122513685,4.722374493165633,level,none,0,,6.666666666666667
gat,post_covid,Far Southeast,88.46153846153845,100.0,94.33962264150944,0.0076841611869051,0.2613560435680137,0.3129739009507957,5.473756239964412,1.6524210196954232,3.527038297563229,125.4098896433078,62.57484616204515,93.39958447360796,6.646810019262817,2.030183955032336,4.875751776191431,level,,8129,,5.0
seasonal_naive,post_covid,Far Southeast,100.0,96.29629629629628,98.1132075471698,0.1640525420505199,0.1853672044827781,0.3653802942333006,6.03466515242619,2.450488749981184,4.208763966274961,148.1544844044844,90.54967666078778,118.80863895014838,8.088448697085768,3.0869727726263045,6.078560971603202,level,none,0,,7.666666666666667
xgboost,post_covid,Far Southwest,100.0,100.0,100.0,0.7158544359828637,0.7138954800143809,0.7935616531717136,6.912804319927603,2.504270705989777,4.66694757320456,37.79359922427844,18.446253749806488,27.937404359924805,8.497844674785604,3.796255916220955,6.539660656384682,climatology,,,,1.0
gnn_st,post_covid,Far Southwest,92.3076923076923,100.0,96.22641509433964,0.4777559973976112,0.6548965415765171,0.7104141304680684,8.06873240837684,2.526695039537218,5.245430352552882,40.96459362502862,19.36433673722948,29.96068917275359,10.094269874300045,3.828009483761709,7.579640206631276,blend,train,15734,,2.0
dualtopo,post_covid,Far Southwest,76.92307692307693,96.29629629629628,86.79245283018868,0.5568278799643841,0.2483180520169448,0.6901996443259371,7.458419469686655,3.564312793590404,5.474629276203659,31.081344736732262,35.494778424329354,33.329697747394924,10.26237951630745,4.820388192068325,7.968810793425701,level,train,479905,,3.3333333333333335
arima,post_covid,Far Southwest,92.3076923076923,100.0,96.22641509433964,0.0780035703946936,0.3665842964056534,0.3907796287347692,9.985018672014691,4.446793291363911,7.16365857243788,45.66255759139096,44.23625259197308,44.93594938414034,12.996073576485283,5.474326646078932,9.905676806471408,level,none,,,5.0
lstm,post_covid,Far Southwest,92.3076923076923,100.0,96.22641509433964,0.0652599380780765,0.2898637939369764,0.4296663622559122,9.732437376284048,6.023135082331795,7.842792811440446,49.07934466954688,56.26884343766461,52.74191951368232,12.557917741356308,7.078300120999259,10.14330965324434,level,train,22353,,5.666666666666667
persistence,post_covid,Far Southwest,92.3076923076923,100.0,96.22641509433964,0.0780035703946936,0.3665842964056536,0.3907796287347691,12.728296247280683,4.291840515206456,8.430479176224,61.198592186848074,35.35913916632871,48.03509725186652,15.690171369570407,5.621903148727416,11.699116950338349,level,none,0,,6.333333333333333
gat,post_covid,Far Southwest,69.23076923076923,96.29629629629628,83.01886792452831,0.1050844998048304,0.2906413363937646,0.4326986706761775,14.953819898458628,3.4486851162380643,9.092713499968909,70.08023562747412,33.015123983266584,51.19800894080237,17.771013609725685,4.719491779268189,12.894652478228522,level,,8129,,5.666666666666667
