model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,4,Far Southwest,2024-25,0.9,IT90,54.68112356483704,9,,,,,,2025-07-06,2025-06-01,-5.0,13.571495683220412,17.246881937744433,3.675386254524021,arima
arima,post_covid,4,Far Southwest,2024-25,0.98,IT98,74.04650918881951,9,,,,,,2025-07-06,2025-06-01,-5.0,13.571495683220412,17.246881937744433,3.675386254524021,arima
arima,post_covid,4,Far Southwest,2025-26,0.5,IT50,34.041053932580134,44,2025-12-14,,,,,2025-12-14,2026-01-11,4.0,46.97825428807066,33.70730887560835,-13.27094541246231,arima
arima,post_covid,4,Far Southwest,2025-26,0.9,IT90,54.68112356483704,44,,,,,,2025-12-14,2026-01-11,4.0,46.97825428807066,33.70730887560835,-13.27094541246231,arima
arima,post_covid,4,Far Southwest,2025-26,0.98,IT98,74.04650918881951,44,,,,,,2025-12-14,2026-01-11,4.0,46.97825428807066,33.70730887560835,-13.27094541246231,arima
arima,post_covid,4,Hilliard,2024-25,0.5,IT50,19.24134804712757,9,,,,,,2025-06-01,2025-06-15,2.0,10.828537838005074,10.047507019534748,-0.7810308184703256,arima
arima,post_covid,4,Hilliard,2024-25,0.9,IT90,34.52709434950146,9,,,,,,2025-06-01,2025-06-15,2.0,10.828537838005074,10.047507019534748,-0.7810308184703256,arima
arima,post_covid,4,Hilliard,2024-25,0.98,IT98,50.186768532537315,9,,,,,,2025-06-01,2025-06-15,2.0,10.828537838005074,10.047507019534748,-0.7810308184703256,arima
arima,post_covid,4,Hilliard,2025-26,0.5,IT50,19.24134804712757,44,2025-12-07,,,,,2025-12-21,2026-01-18,4.0,34.032547490873085,15.980829845040256,-18.05171764583283,arima
arima,post_covid,4,Hilliard,2025-26,0.9,IT90,34.52709434950146,44,,,,,,2025-12-21,2026-01-18,4.0,34.032547490873085,15.980829845040256,-18.05171764583283,arima
arima,post_covid,4,Hilliard,2025-26,0.98,IT98,50.186768532537315,44,,,,,,2025-12-21,2026-01-18,4.0,34.032547490873085,15.980829845040256,-18.05171764583283,arima
arima,post_covid,4,Linden,2024-25,0.5,IT50,53.62727596624066,9,,,,,,2025-06-08,2025-06-22,2.0,23.845362822098693,26.041917881285965,2.196555059187272,arima
arima,post_covid,4,Linden,2024-25,0.9,IT90,82.61523156370409,9,,,,,,2025-06-08,2025-06-22,2.0,23.845362822098693,26.041917881285965,2.196555059187272,arima
arima,post_covid,4,Linden,2024-25,0.98,IT98,108.92078323683364,9,,,,,,2025-06-08,2025-06-22,2.0,23.845362822098693,26.041917881285965,2.196555059187272,arima
arima,post_covid,4,Linden,2025-26,0.5,IT50,53.62727596624066,44,2025-12-14,,,,,2026-01-04,2026-02-01,4.0,76.00709399543958,51.362513864372694,-24.64458013106688,arima
arima,post_covid,4,Linden,2025-26,0.9,IT90,82.61523156370409,44,,,,,,2026-01-04,2026-02-01,4.0,76.00709399543958,51.362513864372694,-24.64458013106688,arima
arima,post_covid,4,Linden,2025-26,0.98,IT98,108.92078323683364,44,,,,,,2026-01-04,2026-02-01,4.0,76.00709399543958,51.362513864372694,-24.64458013106688,arima
arima,post_covid,4,NE Suburban,2024-25,0.5,IT50,27.312493683860776,9,,,,,,2025-06-01,2025-06-01,0.0,9.26979311507184,15.253379220342495,5.983586105270655,arima
arima,post_covid,4,NE Suburban,2024-25,0.9,IT90,41.22759712033061,9,,,,,,2025-06-01,2025-06-01,0.0,9.26979311507184,15.253379220342495,5.983586105270655,arima
arima,post_covid,4,NE Suburban,2024-25,0.98,IT98,53.6511443833241,9,,,,,,2025-06-01,2025-06-01,0.0,9.26979311507184,15.253379220342495,5.983586105270655,arima
