indicator,level,label,threshold,band_at_or_above,reference_seasons,values_per_season,n_pooled,geometric_mean,log_sd,use_t,fitted_through,underpowered
MORÓN,0.5,IT50,28.847000469649124,moderate,2022-23 2023-24 2024-25,10,30,28.847000469649124,0.5148033126417859,True,2024-11-03,False
MORÓN,0.9,IT90,57.29975452086349,high,2022-23 2023-24 2024-25,10,30,28.847000469649124,0.5148033126417859,True,2024-11-03,False
MORÓN,0.98,IT98,88.88106833465432,very high,2022-23 2023-24 2024-25,10,30,28.847000469649124,0.5148033126417859,True,2024-11-03,False
QUILMES,0.5,IT50,46.34689792435932,moderate,2022-23 2023-24 2024-25,10,30,46.34689792435932,0.4186297404619545,True,2024-11-03,False
QUILMES,0.9,IT90,80.98262048145082,high,2022-23 2023-24 2024-25,10,30,46.34689792435932,0.4186297404619545,True,2024-11-03,False
QUILMES,0.98,IT98,115.72591322033615,very high,2022-23 2023-24 2024-25,10,30,46.34689792435932,0.4186297404619545,True,2024-11-03,False
SAN ISIDRO,0.5,IT50,31.02709117627285,moderate,2022-23 2023-24 2024-25,10,30,31.02709117627285,0.5079538244664109,True,2024-11-03,False
SAN ISIDRO,0.9,IT90,61.06994953059092,high,2022-23 2023-24 2024-25,10,30,31.02709117627285,0.5079538244664109,True,2024-11-03,False
SAN ISIDRO,0.98,IT98,94.17754601713678,very high,2022-23 2023-24 2024-25,10,30,31.02709117627285,0.5079538244664109,True,2024-11-03,False
SAN MIGUEL,0.5,IT50,41.72536470891113,moderate,2022-23 2023-24 2024-25,10,30,41.72536470891113,0.20560893121538146,True,2024-11-03,False
SAN MIGUEL,0.9,IT90,54.8832873966512,high,2022-23 2023-24 2024-25,10,30,41.72536470891113,0.20560893121538146,True,2024-11-03,False
SAN MIGUEL,0.98,IT98,65.40139686030513,very high,2022-23 2023-24 2024-25,10,30,41.72536470891113,0.20560893121538146,True,2024-11-03,False
TIGRE,0.5,IT50,22.292181427607932,moderate,2022-23 2023-24 2024-25,10,30,22.292181427607932,0.6295547114200651,True,2024-11-03,False
TIGRE,0.9,IT90,51.59902428823632,high,2022-23 2023-24 2024-25,10,30,22.292181427607932,0.6295547114200651,True,2024-11-03,False
TIGRE,0.98,IT98,88.26651373174553,very high,2022-23 2023-24 2024-25,10,30,22.292181427607932,0.6295547114200651,True,2024-11-03,False
TRES DE FEBRERO,0.5,IT50,92.40050209783404,moderate,2022-23 2023-24 2024-25,10,30,92.40050209783404,0.3662441935415404,True,2024-11-03,False
TRES DE FEBRERO,0.9,IT90,150.5622822202344,high,2022-23 2023-24 2024-25,10,30,92.40050209783404,0.3662441935415404,True,2024-11-03,False
TRES DE FEBRERO,0.98,IT98,205.7567466717726,very high,2022-23 2023-24 2024-25,10,30,92.40050209783404,0.3662441935415404,True,2024-11-03,False
VICENTE LÓPEZ,0.5,IT50,105.82113989675452,moderate,2022-23 2023-24 2024-25,10,30,105.82113989675452,0.34946336196693445,True,2024-11-03,False
VICENTE LÓPEZ,0.9,IT90,168.616011392644,high,2022-23 2023-24 2024-25,10,30,105.82113989675452,0.34946336196693445,True,2024-11-03,False
VICENTE LÓPEZ,0.98,IT98,227.1548194913809,very high,2022-23 2023-24 2024-25,10,30,105.82113989675452,0.34946336196693445,True,2024-11-03,False
CITYWIDE,0.5,IT50,77.06642887231719,moderate,2022-23 2023-24 2024-25,10,30,77.06642887231719,0.1761105936299221,True,2024-11-03,False
CITYWIDE,0.9,IT90,97.46007981062509,high,2022-23 2023-24 2024-25,10,30,77.06642887231719,0.1761105936299221,True,2024-11-03,False
CITYWIDE,0.98,IT98,113.25281678189309,very high,2022-23 2023-24 2024-25,10,30,77.06642887231719,0.1761105936299221,True,2024-11-03,False
