model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
xgboost,post_covid,LOMAS DE ZAMORA,19.230769230769234,33.33333333333333,24.390243902439025,-0.1965127430032063,-0.3653021643963905,-0.2553401291110133,1.0488807800684068,1.2501946110533142,1.122532181648251,407.5277036878624,165.9561998164812,316.12226979058306,2.095948207525613,2.605962631901548,2.2957202477196255,climatology,,,,5.333333333333333
gat,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,-0.2276502614333417,0.0795993112458,-0.0583802112242448,2.7968040796426625,1.6618470986684164,2.381575915871597,865.0386949442213,496.4972675580525,725.5905872845898,2.904000206922784,1.8131576399700935,2.559424271473556,level,,8129,,4.666666666666667
seasonal_naive,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,-0.1776155072468097,0.183491668062732,-0.0991574309478711,2.7907007834015127,1.496543467346387,2.3172285946008575,994.5809021895976,320.6122448979592,739.5657345657345,3.846361045764597,1.928245984067067,3.277524401426605,level,none,0,,6.0
dualtopo,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,-0.0834694862119899,-0.1748935478190433,-0.0399057297168068,3.886941983149602,2.415311415990194,3.3485405561400623,1171.2264520413246,683.2254337801156,986.577418104651,4.016246644366116,2.4671540169002117,3.529281343845103,level,train,479905,,7.0
lstm,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,0.0764180540449059,0.3204932600330248,0.1259206549093755,4.00742208443131,2.4693855819054655,3.444725803019416,1202.1113863629876,711.5739900192534,1016.5026418004938,4.045714236326257,2.567049940980885,3.576375998964308,level,train,22995,,8.0
xgboost_nodemo,post_covid,LOMAS DE ZAMORA,100.0,100.0,100.0,-0.230894875130956,-0.3872455735987037,-0.2800244228065106,1.630072625363824,1.5125002295684251,1.5870583342191658,732.3873908829057,119.69027581600189,500.5560500467799,3.62503965272006,3.720101543914996,3.660104813353904,climatology,,,,8.0
gnn_st,post_covid,MALVINAS ARGENTINAS,80.76923076923077,96.29629629629628,88.67924528301887,0.7810610551114961,0.600117674157458,0.8403863389539993,18.149167409309975,2.757346813325529,10.308051256638652,58.8552083468081,124.05257958443757,92.06896350560048,30.179802584320175,3.747247697864307,21.306595200091166,blend,train,15726,,1.3333333333333333
persistence,post_covid,MALVINAS ARGENTINAS,88.46153846153845,92.5925925925926,90.56603773584906,0.7805022962010981,0.580295708021053,0.8394245260242658,18.06411477502006,3.2213099050104352,10.502685878977424,66.62733011791958,149.51588304613404,108.85357406248164,30.968027175174807,4.359079748445603,21.912144019870873,level,none,0,,3.0
arima,post_covid,MALVINAS ARGENTINAS,73.07692307692307,100.0,86.79245283018868,0.6583336559261882,0.6924105478136993,0.763026409485727,23.98648210054684,2.7884063884705683,13.18746239816836,117.66276927449692,154.2216174064468,136.2870881341695,35.973167621667834,3.5757801620876455,25.324690021711692,level,none,,,2.3333333333333335
dualtopo,post_covid,MALVINAS ARGENTINAS,19.230769230769234,48.148148148148145,33.9622641509434,0.7187707968545313,0.0415454106542413,0.7824347724842334,34.497046378942635,4.520061978587398,19.225752439139026,81.77429207774584,117.37046900404992,99.90819353076868,47.04855681707373,6.1109389185686815,33.24040808544302,level,train,479905,,5.333333333333333
xgboost_nodemo,post_covid,MALVINAS ARGENTINAS,73.07692307692307,100.0,86.79245283018868,0.2386323635712849,0.5559517163565403,0.4634551293442411,37.3257468576923,10.45356320497525,23.63614386479871,133.1041127239926,451.6719824985684,295.3934048733048,46.703812397110426,14.340504335339094,34.275507000369856,climatology,,,,6.0
xgboost,post_covid,MALVINAS ARGENTINAS,96.15384615384616,100.0,98.1132075471698,0.1328169735796543,0.5633056694074585,0.4140920700347611,37.14219875353927,5.826499372546665,21.188917936807183,100.71521405821755,230.07610539107085,166.6160454919353,51.510004868780655,7.776524536913378,36.50228802746061,climatology,,,,6.666666666666667
gat,post_covid,MALVINAS ARGENTINAS,65.38461538461539,85.18518518518519,75.47169811320755,0.4920615350206302,0.5275372478967901,0.6607975133442697,34.73649309231685,2.9880022497640715,18.562733606488074,69.10512071544511,101.20823760533996,85.45953875369342,52.07260407936183,4.2318423278024415,36.596728305650934,level,,8129,,6.0
seasonal_naive,post_covid,MALVINAS ARGENTINAS,69.23076923076923,100.0,84.90566037735849,0.1146016245890631,0.4366808791653136,0.3888589945601289,37.784380934999454,3.189624889551317,20.16063728920512,69.0557325741513,120.57484753212948,95.3013194395364,58.446305979395625,4.394518605779679,41.0560261889182,level,none,0,,7.333333333333333
lstm,post_covid,MALVINAS ARGENTINAS,65.38461538461539,100.0,83.01886792452831,-0.0167048089128097,0.7315363022361798,0.440860610581188,38.54410292940702,2.8242893444524637,20.347216763486767,61.153965562023615,101.5334346528542,81.72463849508826,59.96401176483167,3.927067055269269,42.09247243306062,level,train,22995,,7.0
gnn_st,post_covid,MERLO,100.0,96.29629629629628,98.1132075471698,0.7569948026673073,0.4108084611083475,0.8323359061509872,8.879068594712477,5.31226850439001,7.062019492095372,44.09205171513183,80.78863759476783,62.44034465494983,10.46967904406241,6.4669969793465185,8.664788873258173,blend,train,15726,,2.0
persistence,post_covid,MERLO,96.15384615384616,92.5925925925926,94.33962264150944,0.6993322295180854,0.5568520610538975,0.7966991496480396,8.128290438938249,4.953226661559565,6.510805118386846,28.02724653332253,61.314794371838744,44.67102045258062,11.011967530696213,6.127635302071525,8.86656092526383,level,none,0,,2.0
arima,post_covid,MERLO,96.15384615384616,100.0,98.1132075471698,0.7122362442141543,0.5724391187447868,0.8101062154559233,7.554644626887041,8.07088093560313,7.817632935100898,34.22280267655825,139.74671274914988,86.98475771285408,9.990912056349892,8.870147765582931,9.436604256138132,level,none,,,3.0
lstm,post_covid,MERLO,100.0,100.0,100.0,0.7403670705904156,0.61273849815498,0.8176884648040611,16.30510461236798,11.167996124968203,13.688087081051114,96.1669659382578,171.88812676265076,134.02754635045423,17.91532804754645,12.584581312074786,15.431509665161958,level,train,22995,,5.0
xgboost_nodemo,post_covid,MERLO,100.0,100.0,100.0,0.6726024827587326,0.651939388227014,0.7939781057603735,16.95054569141042,5.5111504037796575,11.122929224126825,71.0023584446351,88.88357397584407,79.94296621023959,22.950781403515236,6.36711499252997,16.70486409938856,climatology,,,,4.0
xgboost,post_covid,MERLO,100.0,100.0,100.0,0.6629882783683603,0.6021019861668164,0.7896097282009169,20.45508187555784,6.973390345281085,13.587050341265902,90.26587212690043,113.59513413121414,101.93050312905731,26.80724189364967,7.885970392429829,19.601416944536275,climatology,,,,5.333333333333333
dualtopo,post_covid,MERLO,80.76923076923077,85.18518518518519,83.01886792452831,0.7154454937980016,-0.1346474707591698,0.7877829948478849,26.03898781996507,8.483385015417028,17.09556752330852,112.84680835619773,122.89129572236762,117.86905203928268,30.02465451013618,9.957863576518712,22.197981851583037,level,train,479905,,6.666666666666667
seasonal_naive,post_covid,MERLO,100.0,100.0,100.0,-0.1675297180048542,-0.18074030817078,0.233667557571844,23.28217066425367,18.17242849645345,20.67909446556299,164.5487049751831,319.0166964883329,241.782700731758,30.96275486357619,21.355286860407237,26.50713694685609,level,none,0,,8.333333333333334
gat,post_covid,MERLO,61.53846153846154,100.0,81.13207547169812,0.4560201433302536,0.1517026347008025,0.6807216433936534,44.37807127145621,17.806945182659007,30.841837226219894,240.0067833941848,273.432345818294,256.71956460623943,47.360300786141366,21.14105176773543,36.44210716114249,level,,8129,,8.666666666666666
persistence,post_covid,MORENO,96.15384615384616,100.0,98.1132075471698,0.8467432165002658,0.9279881784560572,0.947535495877204,16.608379481060833,6.724874404781173,11.57338632899384,14.615332610439063,27.43068757209018,21.14390966637454,20.631809323349408,8.258573804051926,15.606583981508487,level,none,0,,1.0
gnn_st,post_covid,MORENO,88.46153846153845,100.0,94.33962264150944,0.7823064100508752,0.9235274259552576,0.9351610067271154,17.97998912517841,6.509180245576082,12.13636950726779,15.287754012838596,25.56461094105685,20.52313395740261,24.32819755032838,9.190019302511232,18.258477160825866,blend,train,15726,,2.3333333333333335
lstm,post_covid,MORENO,100.0,100.0,100.0,0.7688664648705466,0.9216866181462549,0.9241780827876254,17.0728899149751,10.03030134565265,13.485156115508946,15.632601770034809,39.91962766811501,28.00523760490585,23.53131007803092,12.68118888503656,18.803213944081,level,train,22995,,3.0
dualtopo,post_covid,MORENO,84.61538461538461,81.48148148148148,83.01886792452831,0.8413267424779247,0.7288814057973173,0.9004482167971166,28.60214592860295,15.651109907362196,22.004448332876528,27.13821652474992,49.24633413927293,38.40084247931825,31.535979453028776,18.25721480806702,25.645356010654957,level,train,479905,,5.333333333333333
arima,post_covid,MORENO,73.07692307692307,96.29629629629628,84.90566037735849,0.7564136433890369,0.8686668980999949,0.909306858279294,26.72993070168778,12.617006576619993,19.54032784552117,22.213360322088693,67.33747350380449,45.20111609390618,33.88130066487656,15.038856506603748,26.045323499784192,level,none,,,5.333333333333333
gat,post_covid,MORENO,92.3076923076923,100.0,96.22641509433964,0.531803089809478,0.7584463096645712,0.8412641473702456,28.801788183359,12.005063268873426,20.244966057111633,26.19403325933331,48.35050198171092,37.48129091035587,35.85129643956736,14.82052588375321,27.247536682173298,level,,8129,,5.666666666666667
xgboost_nodemo,post_covid,MORENO,88.46153846153845,96.29629629629628,92.45283018867924,0.2812316513403221,0.8308794870620011,0.744612397375375,41.379484421371515,11.65559936581024,26.23712788363275,35.444556564245,38.084184689155336,36.78927277882196,46.780740486325094,15.695049368715807,34.627509297591814,climatology,,,,7.0
xgboost,post_covid,MORENO,100.0,100.0,100.0,0.1895822342597668,0.8812168284164665,0.7123038442676399,40.559413131820506,9.966414788228674,24.974300768103912,34.142004968586804,52.021769801148245,43.25056441158981,48.09017560334123,11.900995716081814,34.737125917785484,climatology,,,,6.333333333333333
seasonal_naive,post_covid,MORENO,96.15384615384616,100.0,98.1132075471698,0.2411553239755035,0.4618446536775091,0.5926816188706436,45.98320005720219,19.333211039533268,32.406790557635006,39.42929708557485,83.92946301994874,62.099192938935154,54.342781644453915,21.601292717337408,41.06603373328139,level,none,0,,9.0
gnn_st,post_covid,MORÓN,100.0,100.0,100.0,0.7351674165964186,0.5391158000098804,0.8490374571109218,5.398980397444505,3.484164926740858,4.423508365199251,22.341705325570636,31.087357656255467,26.797037644976108,6.533558377174426,4.317013593865364,5.516801752838211,blend,train,15726,,1.0
lstm,post_covid,MORÓN,100.0,100.0,100.0,0.7468758981709905,0.4620822560193248,0.8413121235013894,6.612125678197159,3.5135122295576604,5.033586751531754,27.648706458229327,27.92105885780456,27.78745202027708,7.519981178261655,4.877350709114069,6.313498399772711,level,train,22995,,2.3333333333333335
gat,post_covid,MORÓN,100.0,100.0,100.0,0.7455945549828611,0.3457939493860184,0.8238955817597321,5.28529222194965,4.702601344497116,4.988449699473831,25.81220510019137,38.17585231775581,32.11066689027137,7.099377967972776,6.04180640235816,6.581883110897044,level,,8129,,3.3333333333333335
arima,post_covid,MORÓN,100.0,100.0,100.0,0.5835649068637327,0.4677952464113395,0.7588988279821901,6.407862917275884,4.5372844144304985,5.454926698845215,25.62231349916466,47.65110123564107,36.84452611963378,7.84461637160086,5.661378068211872,6.820295186026629,level,none,,,4.0
persistence,post_covid,MORÓN,100.0,100.0,100.0,0.6057716053831482,0.4921443627640339,0.7774612722668978,7.0957748435155175,4.081887813842655,5.5603984321727395,28.86223896877716,37.92684584050043,33.480057563805985,8.280836317957773,5.263037177565024,6.910160187396846,level,none,0,,4.333333333333333
xgboost,post_covid,MORÓN,100.0,100.0,100.0,0.6961006926153078,0.2001834483309777,0.7143875242079223,6.800186164860311,5.6478865103005935,6.213165586122341,26.087400689810774,52.71086825576943,39.6502992611482,9.074009141975084,6.561669396904353,7.894680955985197,climatology,,,,6.0
