model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
xgboost,post_covid,Linden,100.0,96.29629629629628,98.1132075471698,0.586329632912298,0.4090913498945379,0.7823010367939602,10.237157482430248,7.424616143861554,8.80435340429148,25.51232894891779,39.18917444025436,32.479778538843966,12.47789304151141,8.820344258020764,10.77094444979515,climatology,,,,,,,7.0
dualtopo,post_covid,Linden,50.0,70.37037037037037,60.37735849056604,0.5916114031163849,0.1634843449303285,0.7277608680467397,15.668684079096868,9.017448354650426,12.280318710039246,31.922427477355313,74.97997540873396,53.85740472541614,20.41244143063567,10.882124291055458,16.27054224343646,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,Linden,100.0,100.0,100.0,0.3756760121010018,0.4608178775935265,0.6398855098724848,15.13263409863955,6.458119097651728,10.713541550966513,39.43386696515819,38.679477984678314,39.04955559774392,22.995486535377353,7.994891597704427,17.087122096005277,level,none,0,,,,,7.666666666666667
gnn_st_v2,post_covid,NE Suburban,96.15384615384616,100.0,98.1132075471698,0.7573933843633807,0.5711281367953936,0.8341433784971691,4.428461038149321,2.630864178692853,3.5127041474828182,22.69383547723381,33.50937250100422,28.2036373572678,6.711730690604209,3.232737837641178,5.236657054190774,blend,train,15734,69b537f,,,,1.0
gnn_st,post_covid,NE Suburban,96.15384615384616,100.0,98.1132075471698,0.7555497002653125,0.5685353873625231,0.8330206803863014,4.439754706162673,2.638845125834147,3.522310202976443,22.727317430957907,33.632230715071735,28.282650613430988,6.732279435868918,3.238531391660994,5.251399736111876,blend,train,15734,,,,,2.0
xgboost,post_covid,NE Suburban,96.15384615384616,100.0,98.1132075471698,0.6395978198735478,0.3472149195360481,0.7598793447393128,5.490713012151439,2.947943211792128,4.195339717628771,30.25738119015084,35.36412208268694,32.85892843729188,8.043468472921372,3.5245924344568302,6.169838858069271,climatology,,,,,,,3.6666666666666665
lstm,post_covid,NE Suburban,96.15384615384616,100.0,98.1132075471698,0.6747374971398289,0.5120579349219682,0.7838796550385138,6.129088720433903,3.462357450510581,4.770565243303154,33.248059992084336,45.73780741248476,39.61076150813738,7.896954732723789,4.237825159605196,6.3040966338747495,level,train,22353,,,,,4.666666666666667
persistence,post_covid,NE Suburban,96.15384615384616,96.29629629629628,96.22641509433964,0.6623997415701236,0.5668522799449527,0.766838663735175,6.287901623510271,2.7153939427988223,4.467944880506326,30.514691190269016,32.278438222710676,31.413203829437403,8.498091597283311,3.4594031193155645,6.4439210334505574,level,none,0,,,,,5.0
arima,post_covid,NE Suburban,88.46153846153845,100.0,94.33962264150944,0.6258155773441303,0.4997617616047742,0.7224534802663888,5.5756974740009655,3.25999174818989,4.3959983306632475,27.903598629427034,47.21509216681063,37.74152929941489,8.444882173445993,3.9120763228417257,6.540777922709745,level,none,,,,,,6.0
gat,post_covid,NE Suburban,92.3076923076923,100.0,96.22641509433964,0.6064749943596622,0.6926317367258558,0.763993625439515,5.8531874143160305,3.874021901024713,4.8449332849034725,29.8247521216231,62.68409854969656,46.56441916988693,8.181625024904841,4.605467309247835,6.606304273176311,level,,8129,,,,,6.666666666666667
dualtopo,post_covid,NE Suburban,69.23076923076923,77.77777777777779,73.58490566037736,0.5319069684902262,0.3477792947027892,0.6826709862884278,8.208212889157808,5.056821840780753,6.6027872607393086,33.82825602662684,83.06487363135389,58.91106122148779,12.032472837766482,6.001784844826729,9.453829056653191,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,NE Suburban,100.0,100.0,100.0,0.436414343328232,0.5662779052315153,0.651257495632311,9.62632361949768,2.777816792058565,6.137461650802282,49.72233073273999,33.29554451587475,41.35396794301619,13.331563505971848,3.5420498076991223,9.673675988625051,level,none,0,,,,,7.666666666666667
gnn_st,post_covid,Northland,100.0,100.0,100.0,0.867737419873996,0.7219925181788669,0.8863153757798006,7.122455450204702,4.7011701442577225,5.888970483024165,17.579307497262445,21.45645275562105,19.554456968501736,8.974983629190683,5.908174037055406,7.56953260185375,blend,train,15734,,,,,1.3333333333333333
gnn_st_v2,post_covid,Northland,100.0,100.0,100.0,0.8665471291516951,0.7222771395874759,0.8856933080294777,7.139809168302095,4.699924433672869,5.8968490204721125,17.592183838805013,21.43151739962059,19.548070747145022,9.00987119695204,5.9081193335079565,7.589815486383673,blend,train,15734,69b537f,,,,1.6666666666666667
persistence,post_covid,Northland,96.15384615384616,100.0,98.1132075471698,0.8066579871454607,0.6370833188506924,0.8299405427148973,8.14619572659568,6.01570918233037,7.060853524800145,19.87827906162519,28.990881581520217,24.5205482698736,11.319244808036274,7.380194024888899,9.518476573095224,level,none,0,,,,,3.3333333333333335
lstm,post_covid,Northland,100.0,100.0,100.0,0.82296143594243,0.4727517378874209,0.8281651770434357,9.205456432508935,6.951053564756332,8.056987047050063,23.762360800445904,33.56798852450506,28.757680584400568,11.0337699376285,8.135289443930434,9.666402895807078,level,train,22353,,,,,4.333333333333333
arima,post_covid,Northland,88.46153846153845,92.5925925925926,90.56603773584906,0.8074745561836912,0.578883581200075,0.8126006023691513,9.730314526920766,5.901441990404805,7.779756819639052,21.486389799864263,33.32712380909037,27.5184618423002,12.22153331059734,7.780631207640336,10.20362937808723,level,none,,,,,,4.666666666666667
