"Topic: Volume ($) of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Roxbury","2014","11503278","15322121","66896.2568578554"
"Roxbury","2015","5729759","12781208","41319.1227678571"
"Roxbury","2016","12188459","18832500","60825.4098039216"
"Roxbury","2017","17718659","20028082","57192.0318181818"
"Roxbury","2018","7124291","15579901","38351.6756756757"
"Roxbury","2019","9613079","18726389","39525.059972106"
"Roxbury","2020","12509996","53099074","80600.8230958231"
"Roxbury","2021","8141236","32645962","42753.8763102725"
"Roxbury","2022","9150566","15325965","30943.781289507"
"Roxbury","2023","6911284","11088116","24095.5823293173"
"Roxbury","2024","8600000","11616000","23479.674796748"
"South Boston","1996","12238970","56731411","145507.132911392"
"South Boston","1997","16430614","61314239","170867.808791209"
"South Boston","1998","12471629","32125872","108509.734793187"
"South Boston","1999","16478400","34894879","121449.8321513"
"South Boston","2000","18377621","28426992","72904.3816199377"
"South Boston","2001","15466175","78605556","109896.882009346"
"South Boston","2002","12962573","59473748","78820.8063112078"
"South Boston","2003","12813750","44871493","59715.5724637681"
"South Boston","2004","11403786","63909623","80035.5037194474"
"South Boston","2005","13566350","50249759","78206.0159313725"
"South Boston","2006","21264576","55876809","47094.8626373626"
"South Boston","2007","16543174","58740848","44077.2962529274"
"South Boston","2008","10634917","44547551","41995.7899543379"
"South Boston","2009","6671881","39837149","80187.9827586207"
"South Boston","2010","9388695","33219880","73085.0343053173"
"South Boston","2011","10316353","47630990","80259.4778393352"
"South Boston","2012","8045912","29286357","64365.9810344828"
"South Boston","2013","15062543","36957424","81027.9859813084"
"South Boston","2014","18141524","34717774","72015.3923705722"
"South Boston","2015","15104542","40235766","70318.0533672173"
"South Boston","2016","15751147","36410864","52214.2252252252"
"South Boston","2017","18183672","30100458","47900.9226190476"
"South Boston","2018","13940194","32420959","43819.6153119093"
"South Boston","2019","10901818","34777978","42413.9238625812"
"South Boston","2020","19852015","98381748","87971.5498511905"
"South Boston","2021","17343640","61019348","59455.9848254932"
"South Boston","2022","10510611","14641120","31128.3799504951"
"South Boston","2023","8202323","13852424","25292.1410550459"
"South Boston","2024","9830000","15250000","26595.9703075292"
"South Boston Waterfront","1996","1700587","9679421","162571.542857143"
"South Boston Waterfront","1997","2276069","9208647","188274.032786885"
"South Boston Waterfront","1998","1804609","5210202","120945.017241379"
"South Boston Waterfront","1999","1897340","6415230","169644.285714286"
"South Boston Waterfront","2000","1743266","4278328","80287.92"
"South Boston Waterfront","2001","1517200","10553616","129793.720430108"
"South Boston Waterfront","2002","1411130","8766030","102799.595959596"
"South Boston Waterfront","2003","1601105","7407294","76342.3644067797"
"South Boston Waterfront","2004","1230569","11404947","114868.327272727"
"South Boston Waterfront","2005","1675326","8265810","111698.157303371"
"South Boston Waterfront","2006","3797191","12485204","86608.4840425532"
"South Boston Waterfront","2007","1967093","10380592","66744.2432432432"
"South Boston Waterfront","2008","1797977","8755222","69888.7350993377"
"South Boston Waterfront","2009","583436","8064622","127177.323529412"
"South Boston Waterfront","2010","1354200","5738754","97163.7534246575"
"South Boston Waterfront","2011","1882936","8603464","115235.164835165"
"South Boston Waterfront","2012","1732620","12293922","91676.7450980392"
"South Boston Waterfront","2013","3101091","13114752","100719.52173913"
"South Boston Waterfront","2014","3089883","14224464","103678.724550898"
"South Boston Waterfront","2015","3444791","19012503","118196.284210526"
"South Boston Waterfront","2016","3029026","15073842","87033.0192307692"
"South Boston Waterfront","2017","2421209","13116164","73636.8388625592"
"South Boston Waterfront","2018","2570596","13116138","70980.6968325792"
"South Boston Waterfront","2019","2005643","14983405","74841.6211453744"
"South Boston Waterfront","2020","5526413","42812347","146038.549848943"
"South Boston Waterfront","2021","2714640","27679040","96182.5316455696"
"South Boston Waterfront","2022","3180942","27594240","58843.5602294455"
"South Boston Waterfront","2023","4124326","24122058","57881.9344262295"
"South Boston Waterfront","2024","4478000","16336000","43004.132231405"
"South End","1996","10457702","33041649","126820.265306122"
"South End","1997","17707616","37781134","149163.306451613"
"South End","1998","13468994","20475649","93511.4132231405"
"South End","1999","19520444","17252825","95267.5362694301"
"South End","2000","15148111","14860656","52008.2616984402"
"South End","2001","15651068","33430797","60820.1548946716"
"South End","2002","18270264","35462770","62119.1144508671"
"South End","2003","12474648","34612322","52728.9697648376"
"South End","2004","14239963","42055428","56408.2074148297"
"South End","2005","15665147","28237561","54947.0688360451"
"South End","2006","18247355","36826841","31543.067583047"
"South End","2007","24159553","47273048","39055.5500273373"
"South End","2008","10669249","35401479","32444.1746478873"
"South End","2009","7213185","26724837","51893"
"South End","2010","9668759","18475963","41328.5198237885"
"South End","2011","15624686","22857586","52356.8326530612"
"South End","2012","13184297","26092382","48973.4152119701"
"South End","2013","20135030","28585622","63191.5071335927"
"South End","2014","10609091","27688727","45376.5616113744"
"South End","2015","11215354","25487994","42431.6161849711"
"South End","2016","17814143","31781501","46876.7901701323"
"South End","2017","15826694","21927656","35516.7920978363"
"South End","2018","10196166","29908217","37202.5816326531"
"South End","2019","9934789","26255140","32574.1935193519"
"South End","2020","22047655","102142518","85295.448489011"
"South End","2021","18675241","77653338","65485.0978925901"
"South End","2022","11029336","29643418","36314.9589285714"
"South End","2023","8560602","29173997","36006.2967557252"
"South End","2024","8698000","30240000","32475.3961634696"
"West End","1996","2272474","13192345","124716.282258065"
"West End","1997","4487044","11816839","115630.375886525"
"West End","1998","4237893","13016455","132725.753846154"
"West End","1999","6547531","8966151","156703.858585859"
"West End","2000","6114357","3164572","50983.1263736264"
"West End","2001","6781528","14222136","98147.9626168224"
"West End","2002","5208501","16587329","91195.9414225941"
"West End","2003","4705008","9010381","55981.1795918367"
"West End","2004","4407865","9691961","57084.3157894737"
"West End","2005","3572337","9651553","58255.0220264317"
"West End","2006","4577265","12849854","37158.0362473348"
"West End","2007","6287081","15275465","45683.3601694915"
"West End","2008","2065973","11658403","42359.1851851852"
"West End","2009","1671924","10971828","90962.2446043165"
"West End","2010","1159762","7578432","66198.4393939394"
"West End","2011","2479807","6548026","58622.2922077922"
"West End","2012","2829585","11666743","59655.670781893"
"West End","2013","1358469","10471925","51436.4956521739"
"West End","2014","2064827","10732330","53769.5672268908"
"West End","2015","1759103","11446740","62586.9336492891"
"West End","2016","3087331","10754682","57675.0541666667"
"West End","2017","2361389","11419141","53002.0384615385"
"West End","2018","4261373","12184454","48945.9136904762"
"West End","2019","5379642","14167413","53997.3895027624"
"West End","2020","8196443","43973759","111713.494646681"
"West End","2021","4484405","30597904","81397.4686774942"
"West End","2022","1787672","14148117","42953.6091644205"
"West End","2023","2661354","10730867","36691.0164383562"
"West End","2024","2380000","8690000","31183.0985915493"
"West Roxbury","1996","2685144","5068384","53106.3561643836"
"West Roxbury","1997","4573570","2062016","39497.5357142857"
"West Roxbury","1998","7988765","6968759","78311.6439790576"
"West Roxbury","1999","5164941","6168555","43758.6718146718"
"West Roxbury","2000","4902246","3918517","24847.2197183099"
"West Roxbury","2001","4665645","13010314","41106.8813953488"
"West Roxbury","2002","7522522","7817216","30496.4970178926"
"West Roxbury","2003","7854434","6284229","27668.6164383562"
"West Roxbury","2004","10058660","12775512","40558.0319715808"
"West Roxbury","2005","7930040","8392640","27387.0469798658"
"West Roxbury","2006","13140855","12583789","23535.813357731"
"West Roxbury","2007","9129533","14257990","18860.9056451613"
"West Roxbury","2008","7978733","10260453","20131.5518763797"
"West Roxbury","2009","5055762","7109071","29383.654589372"
"West Roxbury","2010","6452353","6975906","39965.056547619"
"West Roxbury","2011","3457814","4411886","21443.3242506812"
"West Roxbury","2012","5876410","22628482","64200.2072072072"
"West Roxbury","2013","6587700","8648965","37072.1776155718"
"West Roxbury","2014","4753874","10257871","32492.9545454545"
"West Roxbury","2015","8371951","9140980","37025.2241014799"
"West Roxbury","2016","7317052","9942983","35224.5612244898"
"West Roxbury","2017","9462195","14440951","43858.9834862385"
"West Roxbury","2018","9064943","8761362","30788.091537133"
"West Roxbury","2019","7601428","9830575","26859.7889060092"
"West Roxbury","2020","9769791","25686309","45749.8064516129"
"West Roxbury","2021","13243696","22322475","42543.2667464115"
"West Roxbury","2022","8090609","10577060","29122.728549142"
"West Roxbury","2023","6227671","5709814","18858.5860979463"
"West Roxbury","2024","6413000","7645000","18619.8675496689"
