"Topic: Number of Home Loans",,,,,
"Geographic Extent: City of Boston",,,,,
"Year(s): 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",,,,,
"Note: All originated loans for single- and multi-family properties are included.",,,,,
"Source: Consumer Financial Protection Bureau, Home Mortgage Disclosure Act 2007-2022; City of Boston Planning Department Research Division Analysis",,,,,
"Download type: geographically disaggregated",,,,,
,,,,,
"GEOID","YEAR","Home purchase","Home improvement","Refinancing","Total home purchase loans"
"South Boston Waterfront","2022","98","8","27","98"
"South End","2007","749","24","431","749"
"South End","2008","668","18","537","668"
"South End","2009","493","14","1278","493"
"South End","2010","437","22","1106","437"
"South End","2011","474","56","1020","474"
"South End","2012","553","42","1265","553"
"South End","2013","588","38","871","588"
"South End","2014","491","30","258","491"
"South End","2015","512","43","447","512"
"South End","2016","461","48","478","461"
"South End","2017","440","48","254","440"
"South End","2018","519","51","188","519"
"South End","2019","420","40","434","420"
"South End","2020","422","42","857","422"
"South End","2021","620","35","783","620"
"South End","2022","525","47","256","525"
"West End","2007","50","2","38","50"
"West End","2008","61","2","56","61"
"West End","2009","48","1","107","48"
"West End","2010","33","1","94","33"
"West End","2011","40","5","86","40"
"West End","2012","38","1","99","38"
"West End","2013","38","2","79","38"
"West End","2014","29","3","22","29"
"West End","2015","43","2","20","43"
"West End","2016","27","2","31","27"
"West End","2017","56","3","20","56"
"West End","2018","70","6","13","70"
"West End","2019","54","9","32","54"
"West End","2020","42","5","81","42"
"West End","2021","52","1","65","52"
"West End","2022","34","4","12","34"
"West Roxbury","2007","440","113","450","440"
"West Roxbury","2008","305","52","434","305"
"West Roxbury","2009","327","54","1069","327"
"West Roxbury","2010","282","44","1095","282"
"West Roxbury","2011","266","85","875","266"
"West Roxbury","2012","373","114","1397","373"
"West Roxbury","2013","406","119","777","406"
"West Roxbury","2014","334","84","304","334"
"West Roxbury","2015","384","111","475","384"
"West Roxbury","2016","382","118","597","382"
"West Roxbury","2017","387","104","266","387"
"West Roxbury","2018","377","134","319","377"
"West Roxbury","2019","346","116","636","346"
"West Roxbury","2020","388","81","1456","388"
"West Roxbury","2021","445","109","1170","445"
"West Roxbury","2022","380","94","214","380"
