"Topic: Age",,,,,,,,
"Geographic Extent: City of Boston",,,,,,,,
"Year(s): 1950, 1960, 1970, 1980, 1990, 2000, 2010, 2020, 2024, 2025",,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 1950-2010 Decennial Censuses, IPUMS-NHGIS, University of Minnesota, www.nhgis.org; 2020, 2024, and 2025 City of Boston Planning Department Research Division estimates, 2030 and 2035 Research Division projections",,,,,,,,
"Download type: geographically disaggregated",,,,,,,,
,,,,,,,,
"GEOID","YEAR","0-9 years","10-19 years","20-34 years","35-54 years","55-64 years","65 years and over","Share of population aged 20-34"
"Mattapan","2000","3952","3889","5429","6809","2207","2014","0.223415637860082"
"Mattapan","2010","2853","3344","4657","6258","2715","2673","0.206977777777778"
"Mattapan","2020","2755","3175","4899","6198","2968","3845","0.205494966442953"
"Mattapan","2024","2700","3091","4765","6186","3065","4379","0.197014801951542"
"Mattapan","2025","2804","3145","4585","6515","2955","4420","0.187725188339338"
"Mission Hill","1950","3412","3357","4969","5188","1898","2043","0.23812718646667"
"Mission Hill","1960","2958","3259","3822","3807","1791","2217","0.214069676263022"
"Mission Hill","1970","2005","2891","5438","2275","1149","1862","0.348143405889885"
"Mission Hill","1980","1455","2322","5272","1898","866","1409","0.398729390409923"
"Mission Hill","1990","1821","1987","5868","2944","735","1399","0.397722651484343"
"Mission Hill","2000","1041","1766","5965","2724","864","1353","0.434988696856997"
"Mission Hill","2010","988","2289","7495","2472","1047","1599","0.471680302076778"
"Mission Hill","2020","1078","2313","9861","2433","1285","1832","0.524501287431245"
"Mission Hill","2024","835","2152","10293","2463","1156","2091","0.542022116903633"
"Mission Hill","2025","857","2153","10277","2511","1120","2082","0.540894736842105"
"North End","1950","2544","2401","4788","3596","1696","1322","0.292897779409066"
"North End","1960","1786","1776","2267","3357","1064","1686","0.189929624664879"
"North End","1970","1233","1424","2211","2687","1337","1523","0.212289966394623"
"North End","1980","383","925","3473","2112","1202","1350","0.367707781895183"
"North End","1990","271","287","4361","2089","765","1465","0.47207187702966"
"North End","2000","311","188","4816","2223","708","1240","0.507695551338815"
"North End","2010","311","328","5525","1940","852","1180","0.54508681925809"
"North End","2020","364","287","6292","1957","794","1355","0.569466322407835"
"North End","2024","286","237","5645","2119","756","1612","0.529798216799625"
"North End","2025","267","237","5880","1970","719","1562","0.552891188381311"
"Roslindale","1950","5069","4072","6785","9185","3709","3354","0.210884565176851"
"Roslindale","1960","5943","4870","5787","8345","3900","4053","0.175907349990881"
"Roslindale","1970","5458","5930","6342","7531","3944","5104","0.184849456410854"
"Roslindale","1980","3250","4391","7784","5346","3245","5298","0.265538650474176"
"Roslindale","1990","3845","2629","8826","6373","2398","4688","0.30689523279669"
"Roslindale","2000","3849","3816","7074","9303","2119","4075","0.233959518454822"
