"Topic: Number of Small Business Loans",,,,
"Geographic Extent: City of Boston",,,,
"Year(s): 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",,,,
"Note: A business is considered small if it has <$1M in annual revenue.",,,,
"Source: FFIEC, Community Reinvestment Act data, https://github.com/acforrester/community-reinvestment-act; City of Boston Planning Department Research Division analysis",,,,
"Download type: geographically disaggregated",,,,
,,,,
"GEOID","YEAR","Loans to small businesses","Loans to large businesses","Share of small loans going to small businesses"
"Jamaica Plain","2017","315","293","0.518092105263158"
"Jamaica Plain","2018","315","369","0.460526315789474"
"Jamaica Plain","2019","360","344","0.511363636363636"
"Jamaica Plain","2020","340","539","0.386803185437998"
"Jamaica Plain","2021","472","489","0.491155046826223"
"Jamaica Plain","2022","439","370","0.542645241038319"
"Jamaica Plain","2023","434","298","0.592896174863388"
"Jamaica Plain","2024","463","368","0.557160048134777"
"Longwood","1996","3","4","0.428571428571429"
"Longwood","1997","2","8","0.2"
"Longwood","1998","7","5","0.583333333333333"
"Longwood","1999","3","10","0.230769230769231"
"Longwood","2000","5","7","0.416666666666667"
"Longwood","2001","11","16","0.407407407407407"
"Longwood","2002","6","13","0.315789473684211"
"Longwood","2003","6","15","0.285714285714286"
"Longwood","2004","3","13","0.1875"
"Longwood","2005","8","10","0.444444444444444"
"Longwood","2006","8","27","0.228571428571429"
"Longwood","2007","11","16","0.407407407407407"
"Longwood","2008","5","21","0.192307692307692"
"Longwood","2009","0","13","0"
"Longwood","2010","0","3","0"
"Longwood","2011","10","7","0.588235294117647"
"Longwood","2012","1","5","0.166666666666667"
"Longwood","2013","2","12","0.142857142857143"
"Longwood","2014","4","10","0.285714285714286"
"Longwood","2015","6","16","0.272727272727273"
"Longwood","2016","9","11","0.45"
"Longwood","2017","8","18","0.307692307692308"
"Longwood","2018","5","15","0.25"
"Longwood","2019","8","28","0.222222222222222"
"Longwood","2020","10","10","0.5"
"Longwood","2021","6","9","0.4"
"Longwood","2022","8","10","0.444444444444444"
"Longwood","2023","3","11","0.214285714285714"
"Longwood","2024","11","18","0.379310344827586"
"Mattapan","1996","46","39","0.541176470588235"
"Mattapan","1997","32","33","0.492307692307692"
"Mattapan","1998","41","42","0.493975903614458"
"Mattapan","1999","54","49","0.524271844660194"
"Mattapan","2000","56","85","0.397163120567376"
"Mattapan","2001","55","130","0.297297297297297"
"Mattapan","2002","60","168","0.263157894736842"
"Mattapan","2003","71","158","0.310043668122271"
"Mattapan","2004","75","137","0.35377358490566"
"Mattapan","2005","109","129","0.457983193277311"
"Mattapan","2006","171","285","0.375"
"Mattapan","2007","183","269","0.404867256637168"
"Mattapan","2008","89","228","0.280757097791798"
"Mattapan","2009","25","105","0.192307692307692"
"Mattapan","2010","22","94","0.189655172413793"
"Mattapan","2011","55","126","0.303867403314917"
"Mattapan","2012","65","145","0.30952380952381"
"Mattapan","2013","72","85","0.45859872611465"
"Mattapan","2014","70","74","0.486111111111111"
"Mattapan","2015","102","79","0.56353591160221"
"Mattapan","2016","108","92","0.54"
"Mattapan","2017","123","102","0.546666666666667"
"Mattapan","2018","85","133","0.389908256880734"
"Mattapan","2019","131","127","0.507751937984496"
"Mattapan","2020","100","183","0.353356890459364"
"Mattapan","2021","192","253","0.431460674157303"
"Mattapan","2022","198","154","0.5625"
"Mattapan","2023","202","127","0.613981762917933"
"Mattapan","2024","218","145","0.600550964187328"
"Mission Hill","1996","19","53","0.263888888888889"
"Mission Hill","1997","21","47","0.308823529411765"
"Mission Hill","1998","29","50","0.367088607594937"
